table,column,rows,null_count,null_pct,blank_count,blank_pct,sentinel_text_count,sentinel_text_pct,sentinel_neg1_count,sentinel_neg1_pct,total_missing_pct,classification,note
sales,COGS,3833,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
sales,Revenue,3833,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
sales,Date,3833,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
web_traffic,traffic_source,3652,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
web_traffic,avg_session_duration_sec,3652,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
web_traffic,bounce_rate,3652,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
web_traffic,page_views,3652,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
web_traffic,unique_visitors,3652,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
web_traffic,sessions,3652,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
web_traffic,date,3652,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,month,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,year,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,segment,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,category,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,product_name,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,sell_through_rate,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,reorder_flag,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,overstock_flag,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
inventory,stockout_flag,60247,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
returns,order_id,39939,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
reviews,review_title,113551,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,"THUC TE: 0% null (113,551/113,551 co title). Khong co truong hop rating co nhung title trong nhu gia dinh."
customers,zip,121930,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
products,color,2412,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
orders,customer_id,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
orders,order_date,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
orders,order_id,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
geography,district,39948,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
geography,region,39948,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
geography,city,39948,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
geography,zip,39948,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
products,cogs,2412,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
products,price,2412,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
products,size,2412,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
reviews,rating,113551,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
products,segment,2412,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
products,category,2412,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
products,product_name,2412,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
products,product_id,2412,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
customers,acquisition_channel,121930,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
customers,age_group,121930,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
customers,gender,121930,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
customers,signup_date,121930,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
customers,city,121930,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
orders,zip,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
orders,order_status,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
orders,payment_method,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
orders,device_type,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
reviews,review_date,113551,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
reviews,customer_id,113551,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
reviews,product_id,113551,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
reviews,order_id,113551,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
reviews,review_id,113551,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
shipments,shipping_fee,566067,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
shipments,delivery_date,566067,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,"THUC TE: 0% null (566,067/566,067 co delivery_date). Gia dinh ban dau trong sprint plan ('dang giao?') SAI cho cot nay — moi shipment record da co ngay giao. Khoang trong that su la o CAP DO BANG: orders (646,945) - shipments (566,067) = 80,878 don KHONG co shipment record nao (xem QC0.3/QC0.9), khong phai delivery_date bi null trong shipments."
shipments,ship_date,566067,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
shipments,order_id,566067,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
order_items,discount_amount,714669,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
order_items,unit_price,714669,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
order_items,quantity,714669,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
order_items,product_id,714669,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
order_items,order_id,714669,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
payments,installments,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
payments,payment_value,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
payments,payment_method,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
payments,order_id,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
orders,order_source,646945,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
sample_submission,COGS,548,0,0.0,0,0.0,0,0.0,0,0.0,0.0,khong_co_null,
