customer_id,last_order,recency_days,frequency,monetary,R_score,F_score,M_score,segment
106,2019-06-10,1300,1,29824.76,3,1,2,Promising
107,2014-07-24,3082,1,9209.55,1,1,1,Lost
108,2014-08-02,3073,1,93252.72,1,1,3,Hibernating
109,2017-05-03,2068,2,64266.02,2,2,3,Hibernating
112,2015-05-27,2775,1,14961.03,1,1,1,Lost
113,2019-04-28,1343,5,60124.86,3,3,3,Loyal Customers
114,2016-06-02,2403,3,30782.01,1,2,2,Lost
118,2021-06-16,563,2,54459.64,4,2,2,New Customers
119,2020-05-11,964,4,157331.36000000002,3,3,4,Loyal Customers
120,2017-06-30,2010,1,18954.08,2,1,1,Lost
122,2013-03-17,3576,1,41167.84,1,1,2,Lost
125,2020-11-09,782,1,7972.26,3,1,1,Promising
126,2021-02-18,681,10,177854.31,3,4,4,Loyal Customers
127,2022-10-15,77,5,63838.32,5,3,3,Loyal Customers
131,2020-08-01,882,17,542375.68,3,5,5,Loyal Customers
132,2021-05-01,609,14,290026.14,4,5,5,Champions
135,2022-10-21,71,9,302803.94,5,4,5,Champions
136,2019-05-01,1340,1,23423.96,3,1,2,Promising
137,2020-01-04,1092,2,130806.19,3,2,4,Promising
138,2015-06-29,2742,1,8048.6,1,1,1,Lost
139,2021-05-04,606,3,108135.95,4,2,3,New Customers
140,2018-03-27,1740,5,207122.28,2,3,4,At Risk
141,2022-10-15,77,8,215308.09999999998,5,4,4,Champions
142,2022-03-02,304,6,194144.93,4,4,4,Champions
143,2017-04-01,2100,2,38512.31,2,2,2,Lost
145,2022-04-19,256,6,98040.69,5,4,3,Loyal Customers
146,2022-10-31,61,1,39624.08,5,1,2,New Customers
149,2020-05-12,963,1,31597.68,3,1,2,Promising
150,2022-11-01,60,2,45909.89,5,2,2,New Customers
152,2020-08-15,868,2,18707.43,3,2,1,Promising
154,2021-03-25,646,1,14903.22,4,1,1,New Customers
156,2021-05-18,592,4,38827.53,4,3,2,Need Attention
157,2018-05-10,1696,2,61576.16,2,2,3,Hibernating
158,2019-05-28,1313,3,59526.869999999995,3,2,3,Promising
159,2017-10-06,1912,3,55700.83,2,2,2,Lost
160,2022-11-23,38,8,252854.26,5,4,4,Champions
161,2021-06-11,568,16,362822.1,4,5,5,Champions
162,2020-07-22,892,14,378980.47,3,5,5,Loyal Customers
163,2022-05-05,240,19,410736.64,5,5,5,Champions
166,2021-02-25,674,14,350203.65,4,5,5,Champions
167,2022-08-10,143,22,536811.16,5,5,5,Champions
168,2021-06-29,550,12,191804.79,4,5,4,Champions
169,2022-07-13,171,22,633370.74,5,5,5,Champions
170,2022-07-07,177,23,398664.12,5,5,5,Champions
172,2022-10-24,68,20,580887.97,5,5,5,Champions
173,2022-07-02,182,24,506787.05,5,5,5,Champions
176,2022-05-02,243,7,145001.7,5,4,4,Champions
177,2022-06-13,201,4,87481.56,5,3,3,Loyal Customers
178,2016-04-27,2439,4,30966.61,1,3,2,At Risk
179,2022-07-01,183,7,110686.93,5,4,3,Loyal Customers
180,2022-08-04,149,11,269573.25,5,4,5,Champions
181,2022-05-14,231,14,427097.45,5,5,5,Champions
182,2021-05-08,602,10,249144.16999999998,4,4,4,Champions
184,2021-07-21,528,12,436659.51,4,5,5,Champions
185,2022-10-30,62,17,418009.01,5,5,5,Champions
191,2021-07-22,527,8,166955.96,4,4,4,Champions
192,2022-09-09,113,8,195496.1,5,4,4,Champions
193,2020-06-11,933,5,43057.979999999996,3,3,2,Need Attention
195,2019-04-02,1369,5,181648.66,3,3,4,Loyal Customers
197,2022-11-04,57,4,96512.14,5,3,3,Loyal Customers
198,2017-02-26,2134,3,34836.240000000005,2,2,2,Lost
217,2014-06-06,3130,1,20344.92,1,1,1,Lost
222,2014-04-21,3176,2,98736.88,1,2,3,Hibernating
223,2020-08-25,858,3,40451.34,3,2,2,Promising
224,2015-09-11,2668,1,7480.31,1,1,1,Lost
225,2019-12-17,1110,2,28666.07,3,2,2,Promising
226,2016-03-07,2490,2,36858.75,1,2,2,Lost
227,2015-08-28,2682,1,5084.6,1,1,1,Lost
229,2022-05-03,242,6,250618.19,5,4,4,Champions
231,2017-06-02,2038,3,41385.71,2,2,2,Lost
232,2021-09-24,463,4,118624.57999999999,4,3,3,Loyal Customers
235,2022-04-11,264,3,45806.66,4,2,2,New Customers
236,2019-08-09,1240,7,149094.13,3,4,4,Loyal Customers
238,2022-04-30,245,4,64716.24,5,3,3,Loyal Customers
240,2022-04-01,274,5,134017.88,4,3,4,Loyal Customers
241,2022-06-22,192,3,51694.14,5,2,2,New Customers
242,2020-09-28,824,5,88961.72,3,3,3,Loyal Customers
243,2017-05-14,2057,6,98187.83,2,4,3,At Risk
245,2021-04-25,615,5,143351.99,4,3,4,Loyal Customers
246,2022-05-05,240,6,48723.399999999994,5,4,2,Need Attention
247,2021-02-07,692,3,95672.29000000001,3,2,3,Promising
248,2018-06-04,1671,4,154648.91,2,3,4,At Risk
249,2018-12-13,1479,4,91357.59,2,3,3,At Risk
250,2017-06-01,2039,2,42108.22,2,2,2,Lost
251,2016-05-01,2435,1,2372.94,1,1,1,Lost
252,2020-04-20,985,1,3198.73,3,1,1,Promising
257,2020-07-12,902,9,150171.66,3,4,4,Loyal Customers
258,2022-04-22,253,5,117226.10999999999,5,3,3,Loyal Customers
259,2021-04-14,626,9,123346.91,4,4,4,Champions
263,2017-08-06,1973,1,42204.54,2,1,2,Lost
267,2020-07-16,898,2,44034.22,3,2,2,Promising
276,2020-12-21,740,2,117864.09999999999,3,2,3,Promising
277,2018-05-09,1697,3,53281.39,2,2,2,Lost
278,2015-05-08,2794,2,29860.89,1,2,2,Lost
279,2022-10-23,69,4,38496.94,5,3,2,Need Attention
280,2017-08-08,1971,2,26163.32,2,2,2,Lost
281,2021-05-24,586,5,162473.91,4,3,4,Loyal Customers
282,2022-08-03,150,5,79348.75,5,3,3,Loyal Customers
283,2017-06-01,2039,3,67627.08,2,2,3,Hibernating
284,2021-12-30,366,3,94371.88,4,2,3,New Customers
285,2020-05-10,965,4,72354.88,3,3,3,Loyal Customers
288,2022-05-22,223,3,115645.86,5,2,3,New Customers
289,2015-05-29,2773,2,66013.61,1,2,3,Hibernating
290,2020-10-29,793,6,186821.01,3,4,4,Loyal Customers
291,2022-06-20,194,3,62632.909999999996,5,2,3,New Customers
292,2019-03-14,1388,2,45679.270000000004,3,2,2,Promising
293,2017-09-28,1920,3,64967.780000000006,2,2,3,Hibernating
294,2022-06-13,201,5,263541.02,5,3,4,Loyal Customers
295,2018-10-15,1538,2,46838.32,2,2,2,Lost
296,2017-04-13,2088,2,68237.13,2,2,3,Hibernating
297,2016-06-16,2389,3,109483.87,1,2,3,Hibernating
302,2022-02-26,308,1,94165.2,4,1,3,New Customers
304,2020-05-30,945,2,48162.509999999995,3,2,2,Promising
305,2018-03-14,1753,2,98111.01000000001,2,2,3,Hibernating
306,2021-02-21,678,2,30058.489999999998,4,2,2,New Customers
313,2015-04-21,2811,1,27958.3,1,1,2,Lost
314,2018-10-15,1538,1,5439.58,2,1,1,Lost
317,2022-08-08,145,1,50044.2,5,1,2,New Customers
325,2021-09-01,486,19,481861.69,4,5,5,Champions
326,2022-01-04,361,28,821923.11,4,5,5,Champions
327,2022-06-01,213,25,678925.6699999999,5,5,5,Champions
332,2022-12-22,9,18,514781.68,5,5,5,Champions
334,2021-06-01,578,13,277964.84,4,5,5,Champions
337,2012-11-19,3694,1,12534.96,1,1,1,Lost
339,2018-08-04,1610,1,81653.04,2,1,3,Hibernating
342,2017-05-13,2058,1,11110.19,2,1,1,Lost
348,2016-04-02,2464,2,37745.83,1,2,2,Lost
349,2022-01-01,364,3,12976.5,4,2,1,New Customers
350,2020-10-26,796,4,143708.56,3,3,4,Loyal Customers
352,2022-12-15,16,7,197834.97,5,4,4,Champions
354,2022-03-14,292,3,121628.12,4,2,3,New Customers
361,2022-11-28,33,1,8022.72,5,1,1,New Customers
362,2016-06-18,2387,1,16887.28,1,1,1,Lost
363,2015-06-10,2761,1,22367.56,1,1,1,Lost
366,2013-04-30,3532,1,26029.82,1,1,2,Lost
369,2018-07-09,1636,1,46262.76,2,1,2,Lost
371,2015-04-22,2810,1,5857.05,1,1,1,Lost
373,2015-08-03,2707,1,17825.15,1,1,1,Lost
376,2021-04-30,610,6,265360.86,4,4,4,Champions
377,2017-06-18,2022,4,69979.92,2,3,3,At Risk
378,2022-10-26,66,2,65739.14,5,2,3,New Customers
379,2019-03-14,1388,4,82676.03,3,3,3,Loyal Customers
382,2021-05-10,600,1,17931.6,4,1,1,New Customers
384,2012-08-31,3774,1,58283.4,1,1,2,Lost
385,2018-08-26,1588,2,86362.38,2,2,3,Hibernating
386,2015-07-19,2722,1,22027.84,1,1,1,Lost
387,2022-02-05,329,4,67935.25,4,3,3,Loyal Customers
388,2019-06-24,1286,5,168055.6,3,3,4,Loyal Customers
390,2022-08-05,148,7,171134.38,5,4,4,Champions
392,2019-05-20,1321,5,89213.54,3,3,3,Loyal Customers
393,2016-04-24,2442,2,13797.31,1,2,1,Lost
394,2022-06-09,205,5,120484.09999999999,5,3,3,Loyal Customers
395,2022-11-05,56,2,196847.02,5,2,4,New Customers
400,2014-03-26,3202,1,9544.79,1,1,1,Lost
401,2016-05-11,2425,4,58478.59,1,3,2,At Risk
402,2022-10-30,62,5,80698.06,5,3,3,Loyal Customers
403,2017-08-17,1962,3,85227.2,2,2,3,Hibernating
406,2020-03-25,1011,1,34012.92,3,1,2,Promising
407,2014-10-22,2992,1,28690.13,1,1,2,Lost
408,2016-07-15,2360,2,46878.72,1,2,2,Lost
409,2014-06-17,3119,2,66145.55,1,2,3,Hibernating
410,2017-03-30,2102,2,33766.9,2,2,2,Lost
412,2017-08-29,1950,3,62058.82000000001,2,2,3,Hibernating
413,2021-07-02,547,11,431321.5,4,4,5,Champions
414,2021-06-27,552,6,183699.74,4,4,4,Champions
415,2022-06-24,190,9,323060.57,5,4,5,Champions
416,2019-08-01,1248,2,33345.659999999996,3,2,2,Promising
417,2014-07-21,3085,1,33599.67,1,1,2,Lost
418,2015-06-03,2768,2,50782.72,1,2,2,Lost
420,2019-11-08,1149,3,37180.29,3,2,2,Promising
422,2022-04-18,257,1,40447.44,4,1,2,New Customers
423,2013-04-08,3554,1,2316.79,1,1,1,Lost
424,2020-03-28,1008,1,1465.24,3,1,1,Promising
426,2013-04-16,3546,1,7371.88,1,1,1,Lost
427,2013-11-25,3323,3,80269.25,1,2,3,Hibernating
428,2016-02-25,2501,3,46784.07,1,2,2,Lost
429,2020-09-22,830,4,63351.06,3,3,3,Loyal Customers
430,2017-03-17,2115,5,95547.11,2,3,3,At Risk
431,2022-03-05,301,3,34976.369999999995,4,2,2,New Customers
432,2022-06-20,194,3,44378.6,5,2,2,New Customers
433,2013-05-20,3512,1,69741.12,1,1,3,Hibernating
435,2013-10-19,3360,2,31433.850000000002,1,2,2,Lost
436,2022-04-06,269,7,120794.35,4,4,3,Loyal Customers
437,2022-10-31,61,4,108044.40000000001,5,3,3,Loyal Customers
439,2016-02-22,2504,4,68579.68,1,3,3,At Risk
446,2022-10-26,66,11,290685.28,5,4,5,Champions
447,2022-05-25,220,10,446345.7,5,4,5,Champions
448,2020-08-15,868,11,188225.18,3,4,4,Loyal Customers
450,2022-10-28,64,8,97621.29,5,4,3,Loyal Customers
452,2020-05-02,973,5,161369.16999999998,3,3,4,Loyal Customers
453,2020-09-18,834,4,53889.83,3,3,2,Need Attention
454,2021-06-28,551,4,116774.97,4,3,3,Loyal Customers
455,2016-12-25,2197,1,1722.12,2,1,1,Lost
456,2022-04-16,259,9,279958.55,4,4,5,Champions
457,2022-06-09,205,9,214931.19,5,4,4,Champions
458,2021-04-28,612,8,184394.38,4,4,4,Champions
459,2019-12-06,1121,11,281177.33,3,4,5,Loyal Customers
460,2022-04-19,256,12,401508.60000000003,5,5,5,Champions
461,2021-05-02,608,6,154811.27000000002,4,4,4,Champions
462,2018-07-04,1641,6,180371.03,2,4,4,Can't Lose Them
463,2020-04-15,990,8,189507.17,3,4,4,Loyal Customers
464,2018-10-24,1529,5,85207.53,2,3,3,At Risk
465,2021-12-29,367,12,336432.5,4,5,5,Champions
466,2016-05-12,2424,4,91534.94,1,3,3,At Risk
467,2021-04-11,629,2,68783.65,4,2,3,New Customers
468,2016-05-25,2411,3,79724.81,1,2,3,Hibernating
469,2022-10-30,62,2,34831.37,5,2,2,New Customers
470,2019-07-28,1252,2,40831.17,3,2,2,Promising
471,2015-07-03,2738,4,61632.01,1,3,3,At Risk
472,2016-12-26,2196,4,57299.45,2,3,2,At Risk
473,2018-08-02,1612,4,53865.020000000004,2,3,2,At Risk
474,2021-12-01,395,8,199379.38999999998,4,4,4,Champions
475,2017-09-27,1921,3,29741.66,2,2,2,Lost
477,2022-04-30,245,18,390559.89999999997,5,5,5,Champions
478,2022-06-29,185,18,342104.13999999996,5,5,5,Champions
480,2022-03-21,285,16,440132.54,4,5,5,Champions
481,2021-12-29,367,29,553911.6,4,5,5,Champions
482,2021-05-18,592,29,571837.89,4,5,5,Champions
483,2022-12-24,7,25,759921.54,5,5,5,Champions
484,2022-05-29,216,17,427526.47,5,5,5,Champions
487,2016-08-17,2327,1,4916.34,1,1,1,Lost
488,2021-06-25,554,7,144886.85,4,4,4,Champions
489,2022-10-31,61,6,58797.81,5,4,3,Loyal Customers
490,2018-05-07,1699,4,112037.92,2,3,3,At Risk
491,2022-03-31,275,10,321130.93,4,4,5,Champions
492,2020-04-18,987,14,370533.39,3,5,5,Loyal Customers
493,2018-05-19,1687,9,377465.07,2,4,5,Can't Lose Them
494,2020-05-18,957,9,173007.13,3,4,4,Loyal Customers
495,2022-02-25,309,10,285075.69,4,4,5,Champions
499,2012-09-19,3755,1,28413.69,1,1,2,Lost
504,2015-06-19,2752,3,57525.47,1,2,2,Lost
506,2019-05-15,1326,1,58519.08,3,1,2,Promising
508,2022-04-17,258,1,37737.28,4,1,2,New Customers
510,2018-06-23,1652,1,8117.85,2,1,1,Lost
511,2019-08-29,1220,3,37985.04,3,2,2,Promising
512,2021-10-23,434,3,106433.64,4,2,3,New Customers
513,2016-07-07,2368,2,27156.34,1,2,2,Lost
515,2021-10-24,433,2,15632.86,4,2,1,New Customers
517,2021-07-15,534,3,70601.19,4,2,3,New Customers
518,2022-04-16,259,4,105314.0,4,3,3,Loyal Customers
519,2021-06-06,573,6,200793.13,4,4,4,Champions
520,2016-07-03,2372,4,113727.32,1,3,3,At Risk
522,2018-04-25,1711,3,56930.57000000001,2,2,2,Lost
523,2021-07-29,520,4,48427.79,4,3,2,Need Attention
525,2021-07-08,541,1,16747.11,4,1,1,New Customers
526,2019-05-11,1330,16,430275.45,3,5,5,Loyal Customers
528,2022-04-03,272,13,309600.04,4,5,5,Champions
529,2021-12-22,374,17,402369.77,4,5,5,Champions
530,2022-09-29,93,21,631124.43,5,5,5,Champions
531,2019-05-22,1319,3,68279.03,3,2,3,Promising
532,2022-12-01,30,2,7182.599999999999,5,2,1,New Customers
533,2020-12-24,737,2,62934.18,3,2,3,Promising
535,2019-06-30,1280,2,32343.71,3,2,2,Promising
536,2022-01-12,353,6,169624.59,4,4,4,Champions
537,2018-01-11,1815,2,7420.16,2,2,1,Lost
538,2020-08-04,879,5,129732.19,3,3,4,Loyal Customers
539,2021-02-05,694,5,40696.770000000004,3,3,2,Need Attention
540,2020-05-01,974,5,108175.84000000001,3,3,3,Loyal Customers
543,2018-05-01,1705,1,36847.86,2,1,2,Lost
544,2022-05-02,243,5,112349.42,5,3,3,Loyal Customers
545,2017-07-27,1983,1,32071.68,2,1,2,Lost
546,2021-07-15,534,1,61567.99,4,1,3,New Customers
549,2018-04-29,1707,1,31098.85,2,1,2,Lost
553,2022-06-01,213,1,11700.04,5,1,1,New Customers
556,2018-08-28,1586,1,13370.84,2,1,1,Lost
557,2016-06-29,2376,1,61448.04,1,1,3,Hibernating
560,2015-10-09,2640,3,72783.16,1,2,3,Hibernating
562,2022-09-02,120,2,51233.6,5,2,2,New Customers
563,2021-07-03,546,1,41931.98,4,1,2,New Customers
564,2019-08-21,1228,4,104979.20999999999,3,3,3,Loyal Customers
567,2018-03-28,1739,6,100732.75,2,4,3,At Risk
569,2017-09-26,1922,4,41383.25,2,3,2,At Risk
571,2018-07-15,1630,2,27127.039999999997,2,2,2,Lost
572,2022-06-03,211,7,86534.76000000001,5,4,3,Loyal Customers
573,2015-10-31,2618,1,6034.2,1,1,1,Lost
575,2021-06-24,555,4,140415.14,4,3,4,Loyal Customers
577,2017-06-06,2034,1,18731.46,2,1,1,Lost
578,2020-05-04,971,5,51128.33,3,3,2,Need Attention
579,2016-12-21,2201,2,34275.979999999996,2,2,2,Lost
580,2020-05-08,967,6,161675.51,3,4,4,Loyal Customers
584,2016-07-16,2359,1,13307.94,1,1,1,Lost
586,2012-12-20,3663,1,43716.16,1,1,2,Lost
587,2018-08-01,1613,2,79490.88,2,2,3,Hibernating
588,2022-08-25,128,5,202524.44,5,3,4,Loyal Customers
589,2019-07-12,1268,2,9635.34,3,2,1,Promising
592,2016-01-04,2553,2,64650.18,1,2,3,Hibernating
593,2018-09-06,1577,3,80659.67,2,2,3,Hibernating
595,2018-04-05,1731,4,150918.3,2,3,4,At Risk
597,2017-07-01,2009,1,7167.26,2,1,1,Lost
598,2013-06-30,3471,1,3812.54,1,1,1,Lost
599,2014-05-13,3154,2,84585.64,1,2,3,Hibernating
601,2021-08-26,492,23,401499.63,4,5,5,Champions
602,2022-07-31,153,16,287027.52,5,5,5,Champions
603,2022-05-04,241,21,631467.66,5,5,5,Champions
604,2022-07-30,154,14,359329.79000000004,5,5,5,Champions
605,2022-03-30,276,20,505766.28,4,5,5,Champions
607,2013-04-15,3547,1,6979.92,1,1,1,Lost
610,2017-06-29,2011,2,52284.44,2,2,2,Lost
616,2019-11-27,1130,7,120519.45999999999,3,4,3,Loyal Customers
618,2021-06-28,551,3,85161.06,4,2,3,New Customers
619,2017-06-28,2012,4,37147.21,2,3,2,At Risk
620,2020-04-15,990,10,101398.59,3,4,3,Loyal Customers
623,2019-10-01,1187,1,15242.94,3,1,1,Promising
626,2015-07-19,2722,1,19720.75,1,1,1,Lost
627,2012-10-10,3734,2,12673.29,1,2,1,Lost
628,2016-05-30,2406,1,44509.85,1,1,2,Lost
629,2017-08-22,1957,1,23608.97,2,1,2,Lost
635,2021-08-16,502,1,19417.44,4,1,1,New Customers
636,2022-07-13,171,2,20200.09,5,2,1,New Customers
637,2021-05-27,583,2,18634.09,4,2,1,New Customers
638,2018-02-13,1782,4,36835.18,2,3,2,At Risk
639,2022-07-14,170,3,8250.8,5,2,1,New Customers
640,2022-08-06,147,1,11797.8,5,1,1,New Customers
642,2019-03-13,1389,1,17990.88,3,1,1,Promising
646,2018-10-05,1548,2,29538.54,2,2,2,Lost
648,2020-12-06,755,1,9968.51,3,1,1,Promising
649,2018-07-21,1624,2,68807.08,2,2,3,Hibernating
656,2019-04-27,1344,3,136764.34,3,2,4,Promising
657,2022-10-18,74,9,231621.81,5,4,4,Champions
658,2022-06-07,207,16,431003.67,5,5,5,Champions
659,2022-07-30,154,9,130598.18000000001,5,4,4,Champions
660,2021-06-18,561,8,302115.63,4,4,5,Champions
666,2018-05-27,1679,1,4056.25,2,1,1,Lost
668,2019-04-29,1342,4,119810.81,3,3,3,Loyal Customers
669,2014-05-07,3160,2,107233.03,1,2,3,Hibernating
670,2022-08-29,124,5,130617.2,5,3,4,Loyal Customers
676,2020-03-16,1020,5,34988.88,3,3,2,Need Attention
677,2019-04-29,1342,5,98630.33,3,3,3,Loyal Customers
679,2014-05-25,3142,1,40157.32,1,1,2,Lost
680,2020-03-16,1020,3,24125.309999999998,3,2,2,Promising
684,2016-03-30,2467,1,18641.39,1,1,1,Lost
685,2022-06-27,187,1,7788.22,5,1,1,New Customers
690,2016-05-03,2433,1,10848.5,1,1,1,Lost
691,2018-05-11,1695,1,16655.25,2,1,1,Lost
699,2013-04-30,3532,1,7715.64,1,1,1,Lost
701,2021-06-09,570,1,14852.32,4,1,1,New Customers
704,2014-06-25,3111,1,16191.3,1,1,1,Lost
705,2017-06-28,2012,2,10041.720000000001,2,2,1,Lost
706,2017-09-21,1927,2,22457.829999999998,2,2,1,Lost
707,2013-03-21,3572,1,20302.87,1,1,1,Lost
708,2015-12-19,2569,2,12041.8,1,2,1,Lost
709,2020-07-19,895,2,87187.87,3,2,3,Promising
710,2020-04-04,1001,3,27631.43,3,2,2,Promising
711,2018-06-07,1668,2,14097.82,2,2,1,Lost
712,2016-05-04,2432,2,34071.39,1,2,2,Lost
714,2021-04-29,611,2,137669.14,4,2,4,New Customers
715,2020-04-22,983,2,26168.120000000003,3,2,2,Promising
716,2017-05-31,2040,3,87668.44,2,2,3,Hibernating
717,2020-05-14,961,5,82170.93000000001,3,3,3,Loyal Customers
718,2014-03-27,3201,2,12794.24,1,2,1,Lost
719,2017-07-19,1991,3,64406.560000000005,2,2,3,Hibernating
720,2017-03-12,2120,3,19715.2,2,2,1,Lost
721,2017-01-17,2174,1,4232.77,2,1,1,Lost
730,2017-07-11,1999,1,9289.68,2,1,1,Lost
731,2012-09-25,3749,1,9015.12,1,1,1,Lost
732,2014-04-12,3185,1,3541.67,1,1,1,Lost
734,2015-06-28,2743,1,5158.28,1,1,1,Lost
736,2015-03-10,2853,1,28871.22,1,1,2,Lost
737,2020-07-07,907,2,86200.39,3,2,3,Promising
738,2016-02-14,2512,1,24844.5,1,1,2,Lost
739,2013-03-26,3567,1,5958.59,1,1,1,Lost
740,2017-06-22,2018,2,37767.119999999995,2,2,2,Lost
741,2018-04-03,1733,2,33567.369999999995,2,2,2,Lost
743,2021-06-07,572,2,25484.57,4,2,2,New Customers
744,2018-04-27,1709,1,32308.86,2,1,2,Lost
745,2018-04-03,1733,4,129437.89,2,3,4,At Risk
748,2016-06-23,2382,1,15163.77,1,1,1,Lost
750,2016-05-31,2405,1,10756.98,1,1,1,Lost
751,2022-11-12,49,2,70196.84,5,2,3,New Customers
753,2016-06-28,2377,1,31884.49,1,1,2,Lost
754,2022-08-25,128,6,153116.81,5,4,4,Champions
756,2017-12-20,1837,2,3688.94,2,2,1,Lost
757,2014-08-24,3051,1,6992.1,1,1,1,Lost
758,2015-06-13,2758,1,41234.48,1,1,2,Lost
759,2017-12-18,1839,1,4052.32,2,1,1,Lost
761,2014-07-09,3097,1,2219.31,1,1,1,Lost
764,2021-12-18,378,1,34855.04,4,1,2,New Customers
765,2015-07-03,2738,2,63906.16,1,2,3,Hibernating
767,2021-02-23,676,4,100670.25,4,3,3,Loyal Customers
768,2014-06-10,3126,1,47441.12,1,1,2,Lost
769,2018-07-23,1622,5,50535.1,2,3,2,At Risk
771,2013-04-04,3558,2,22318.760000000002,1,2,1,Lost
772,2012-10-21,3723,1,2124.28,1,1,1,Lost
