Date,Revenue,COGS,gross_revenue,gross_cogs,rev_diff_pct,cogs_diff_pct
2012-08-04,6384195.03,5087528.11,6384195.03,5087528.1056634085,0.0,8.523966288194172e-08
2012-08-05,2359224.19,1863413.11,2359224.19,1863413.1137686607,0.0,2.0224504021965879e-07
2012-08-06,3630003.7,2922718.71,3630003.7,2922718.7101814244,0.0,6.2073859821706575e-09
2012-08-07,2240253.44,1781265.84,2240253.44,1781265.8378658865,0.0,1.1980881935836703e-07
2012-08-08,2617553.36,1997006.42,2617553.36,1997006.4242339963,0.0,2.120171643637383e-07
2012-08-09,4478691.52,3621672.71,4478691.5200000005,3621672.7136540324,2.0794523812514744e-14,1.0089350343233106e-07
2012-08-10,3412496.65,2699279.56,3412496.65,2699279.563340089,0.0,1.237400086985777e-07
2012-08-11,2732604.35,2168668.05,2732604.35,2168668.047857173,0.0,9.880843804315749e-08
2012-08-12,3388181.83,2654275.25,3388181.83,2654275.2487820983,0.0,4.5884529371833484e-08
2012-08-13,3928170.01,3189564.96,3928170.01,3189564.9565589,0.0,1.0788618673518801e-07
2012-08-14,4033912.16,3258198.58,4033912.16,3258198.5833851974,0.0,1.0389782231273424e-07
2012-08-15,3780293.26,2886923.59,3780293.2600000002,2886923.5917964345,1.2318126009825472e-14,6.22266082710495e-08
2012-08-16,5249978.18,4222455.97,5249978.18,4222455.9695393555,0.0,1.0909391498007396e-08
2012-08-17,4089284.05,3238908.92,4089284.05,3238908.9209638075,0.0,2.9757168092252304e-08
2012-08-18,3450015.71,2808916.94,3450015.71,2808916.935011936,0.0,1.7757962106651038e-07
2012-08-19,3904300.93,3006801.4,3904300.93,3006801.40112138,0.0,3.729477779023569e-08
2012-08-20,3541027.32,2827038.81,3541027.32,2827038.8091826653,0.0,2.8911337976264957e-08
2012-08-21,4147483.23,3364364.64,4147483.23,3364364.6362951347,0.0,1.101208061406216e-07
2012-08-22,4597682.81,3562468.33,4597682.81,3562468.3303695684,0.0,1.037394079462564e-08
2012-08-23,5478869.55,4195738.04,5478869.55,4195738.041394829,0.0,3.3243943453761414e-08
2012-08-24,4637850.57,3632210.67,4637850.57,3632210.66515299,0.0,1.334451817995828e-07
2012-08-25,3589566.28,2784342.75,3589566.28,2784342.7514336184,0.0,5.1488573621846384e-08
2012-08-26,4280204.53,3476942.48,4280204.53,3476942.4790296652,0.0,2.790770199751899e-08
2012-08-27,3038895.84,2365260.68,3038895.84,2365260.677238471,0.0,1.1675369722508941e-07
2012-08-28,9508676.62,7439851.59,9508676.62,7439851.590178641,0.0,2.401132686133238e-09
2012-08-29,9260558.32,7336294.54,9260558.32,7336294.5391727565,0.0,1.127604061016749e-08
2012-08-30,10086534.1,7950911.72,10086534.1,7950911.718327374,0.0,2.1036902440755712e-08
2012-08-31,9104678.52,7277460.12,9104678.52,7277460.121388999,0.0,1.9086311422733907e-08
2012-09-01,8560208.92,6738335.17,8560208.92,6738335.167662269,0.0,3.469299805802373e-08
2012-09-02,2587099.44,1946097.28,2587099.44,1946097.2844896885,0.0,2.3070215871065835e-07
2012-09-03,3865505.01,3063431.08,3865505.0100000002,3063431.083906126,1.2046583463301196e-14,1.2750820998060697e-07
2012-09-04,3645749.44,2876968.79,3645749.44,2876968.7934032604,0.0,1.1829326701104386e-07
2012-09-05,2398185.51,1966376.48,2398185.51,1966376.4785398233,0.0,7.42572276773753e-08
2012-09-06,2858227.37,2147909.96,2858227.37,2147909.9623033353,0.0,1.072361222258506e-07
2012-09-07,3282753.8,2580035.06,3282753.8,2580035.0621853285,0.0,8.470150006023042e-08
2012-09-08,3666204.89,2804001.32,3666204.89,2804001.3152413024,0.0,1.6971095679753216e-07
2012-09-09,4458501.42,3589475.8,4458501.42,3589475.798677543,0.0,3.684261182467823e-08
2012-09-10,4548962.79,3517300.88,4548962.79,3517300.882872304,0.0,8.166216532391357e-08
2012-09-11,4021565.55,3264364.41,4021565.55,3264364.406904006,0.0,9.484217596314173e-08
2012-09-12,3335978.29,2673690.65,3335978.29,2673690.648629919,0.0,5.124305411736023e-08
2012-09-13,2609609.29,2103806.97,2609609.29,2103806.968500585,0.0,7.127152807618566e-08
2012-09-14,3729228.43,2835412.27,3729228.43,2835412.2727730554,0.0,9.780078087532337e-08
2012-09-15,3605125.64,2849539.9,3605125.64,2849539.8978650756,0.0,7.492171942702405e-08
2012-09-16,4452012.44,3561492.95,4452012.44,3561492.953030471,0.0,8.508990697491907e-08
2012-09-17,4811788.67,3932069.23,4811788.67,3932069.2349185203,0.0,1.2508732809959534e-07
2012-09-18,5078878.07,4123200.89,5078878.07,4123200.891342271,0.0,3.255410116510222e-08
2012-09-19,3680241.62,3014323.76,3680241.62,3014323.7619800745,0.0,6.568885225990616e-08
2012-09-20,3763143.75,3080273.62,3763143.75,3080273.615609853,0.0,1.4252458029946048e-07
2012-09-21,3943768.14,2978697.93,3943768.14,2978697.932699993,0.0,9.064338455611243e-08
2012-09-22,3872374.03,3011266.74,3872374.03,3011266.7405302906,0.0,1.7610210690706874e-08
2012-09-23,4118299.54,3294951.2,4118299.54,3294951.1995498724,0.0,1.3661135803338383e-08
2012-09-24,5733263.53,4585762.62,5733263.53,4585762.616773161,0.0,7.036646406148064e-08
2012-09-25,5639897.53,4502395.62,5639897.53,4502395.616958019,0.0,6.756360490843954e-08
2012-09-26,4592282.59,3670417.04,4592282.59,3670417.0361659233,0.0,1.0445888436205838e-07
2012-09-27,7556892.66,6017108.13,7556892.66,6017108.130481164,0.0,7.996600235349077e-09
2012-09-28,4892631.14,3884590.92,4892631.14,3884590.916897309,0.0,7.987175423823382e-08
2012-09-29,5304374.46,4170120.63,5304374.46,4170120.632817558,0.0,6.756538658358777e-08
2012-09-30,4694379.86,3812737.52,4694379.86,3812737.520296814,0.0,7.78479766721038e-09
2012-10-01,4752532.1,3764447.04,4752532.1,3764447.0361134233,0.0,1.0324429326900088e-07
2012-10-02,3233135.78,2566510.62,3233135.7800000003,2566510.6177076274,1.4402775478478025e-14,8.931865444535039e-08
2012-10-03,3515132.03,2762823.63,3515132.03,2762823.63001266,0.0,4.5822445126674653e-10
2012-10-04,2398137.74,1902425.74,2398137.74,1902425.743612044,0.0,1.8986517889133232e-07
2012-10-05,2665953.06,2064899.19,2665953.06,2064899.1930245974,0.0,1.464767594502202e-07
2012-10-06,2205266.94,1755004.4,2205266.94,1755004.4009880943,0.0,5.630153228957902e-08
2012-10-07,3389598.07,2725469.75,3389598.0700000003,2725469.7486711927,1.3737949977878624e-14,4.875516685411996e-08
2012-10-08,4037039.45,3285493.04,4037039.45,3285493.036051566,0.0,1.2017783047920283e-07
2012-10-09,4298675.76,3472700.63,4298675.76,3472700.6251249947,0.0,1.403808085483314e-07
2012-10-10,3548716.67,2839202.59,3548716.67,2839202.593214902,0.0,1.1323257649283375e-07
2012-10-11,3421490.39,2765374.16,3421490.39,2765374.1643604217,0.0,1.576792617713875e-07
2012-10-12,2380119.87,1830898.15,2380119.87,1830898.1453662848,0.0,2.5308426596133994e-07
2012-10-13,2798011.44,2256579.15,2798011.44,2256579.147580793,0.0,1.0720682141595512e-07
2012-10-14,3055629.78,2516987.32,3055629.78,2516987.3245189684,0.0,1.7953878761786474e-07
2012-10-15,3234517.3,2632811.8,3234517.3,2632811.8028184487,0.0,1.0705090788122665e-07
2012-10-16,3549298.21,2763325.25,3549298.21,2763325.250532065,0.0,1.925452143351964e-08
2012-10-17,3818048.0,3108682.75,3818048.0,3108682.7533634296,0.0,1.0819468692030227e-07
2012-10-18,2909728.89,2301277.14,2909728.89,2301277.1365921665,0.0,1.480844515789935e-07
2012-10-19,2877379.81,2352068.71,2877379.81,2352068.7063831575,0.0,1.5377282244704557e-07
2012-10-20,3242557.3,2647331.71,3242557.3,2647331.7089749957,0.0,3.8718393638553495e-08
2012-10-21,2395609.91,1920246.47,2395609.91,1920246.472055591,0.0,1.0704828804108383e-07
2012-10-22,3596158.34,2873316.18,3596158.34,2873316.1756379753,0.0,1.5181151531040028e-07
2012-10-23,3999141.88,3151858.27,3999141.88,3151858.268814701,0.0,3.760635142156923e-08
2012-10-24,3829179.99,3037851.31,3829179.9899999998,3037851.310761241,1.21608618169902e-14,2.5058524696157738e-08
2012-10-25,3104460.52,2528526.7,3104460.52,2528526.703029313,0.0,1.1980545581946066e-07
2012-10-26,2138927.17,1671777.12,2138927.17,1671777.1177189236,0.0,1.3644620926758855e-07
2012-10-27,2816872.34,2296869.06,2816872.34,2296869.0605839337,0.0,2.5423028091486303e-08
2012-10-28,6259883.83,5044146.85,6259883.83,5044146.848885036,0.0,2.210410574874287e-08
2012-10-29,5424539.1,4294440.71,5424539.1,4294440.706452773,0.0,8.260044205222902e-08
2012-10-30,6347274.89,5049887.71,6347274.89,5049887.714459253,0.0,8.830399480309094e-08
2012-10-31,4942677.89,3871571.88,4942677.89,3871571.880945082,0.0,2.4410806866715015e-08
2012-11-01,5536748.35,4440955.34,5536748.35,4440955.341567881,0.0,3.530505115066431e-08
2012-11-02,1936831.08,1547786.14,1936831.08,1547786.1411564788,0.0,7.471826097524513e-08
2012-11-03,2911848.61,2151815.97,2911848.61,2151815.970563368,0.0,2.618103701472719e-08
2012-11-04,2658832.75,2131401.7,2658832.75,2131401.6986779375,0.0,6.202785172244636e-08
2012-11-05,3332448.46,2732792.99,3332448.46,2732792.988130101,0.0,6.842447370170679e-08
2012-11-06,3439495.01,2809375.18,3439495.0100000002,2809375.1817080607,1.353865279507236e-14,6.079859020488611e-08
2012-11-07,1969815.91,1538155.1,1969815.91,1538155.0998803354,0.0,7.779755519438073e-09
2012-11-08,2197716.17,1723412.77,2197716.17,1723412.7663041214,0.0,2.1445115936411857e-07
2012-11-09,2920310.06,2308918.6,2920310.06,2308918.6029431894,0.0,1.2747046816745674e-07
2012-11-10,3124993.27,2475389.25,3124993.27,2475389.2516002604,0.0,6.464681789563105e-08
2012-11-11,3484874.3,2713727.18,3484874.3,2713727.1771439714,0.0,1.0524376779512427e-07
2012-11-12,3806978.06,3077336.49,3806978.06,3077336.491716446,0.0,5.577698998417075e-08
2012-11-13,3848498.06,3048755.92,3848498.06,3048755.917154908,0.0,9.331976123747478e-08
2012-11-14,3213518.64,2550177.92,3213518.64,2550177.9155699178,0.0,1.7371659154587572e-07
2012-11-15,2996358.37,2282178.26,2996358.37,2282178.2623678665,0.0,1.0375467739325172e-07
2012-11-16,2851503.98,2255928.16,2851503.98,2255928.1620457084,0.0,9.068144451921784e-08
2012-11-17,3258479.4,2499839.57,3258479.4,2499839.5654454576,0.0,1.8219338160192308e-07
2012-11-18,3292697.97,2632996.71,3292697.97,2632996.706753754,0.0,1.23290921459486e-07
2012-11-19,4654711.93,3714724.53,4654711.93,3714724.5340443444,0.0,1.0887333949144364e-07
2012-11-20,3532139.01,2841184.71,3532139.0100000002,2841184.7066058703,1.318354928810515e-14,1.194617750162948e-07
2012-11-21,3144567.59,2465022.82,3144567.59,2465022.8180500353,0.0,7.910533488866616e-08
2012-11-22,2661394.83,2082526.75,2661394.83,2082526.7506205477,0.0,2.979782526428005e-08
2012-11-23,3625609.77,2879673.14,3625609.77,2879673.1366802696,0.0,1.152815043627876e-07
2012-11-24,2283866.51,1759438.38,2283866.5100000002,1759438.3835441489,2.0389163958086994e-14,2.0143638045577809e-07
2012-11-25,2891169.43,2288045.69,2891169.43,2288045.6864424464,0.0,1.554843738648514e-07
2012-11-26,3626699.25,2942841.67,3626699.25,2942841.666748621,0.0,1.1048432959449508e-07
2012-11-27,4703189.22,3751057.26,4703189.22,3751057.2580620293,0.0,5.1664647717637266e-08
2012-11-28,3980270.66,3143037.5,3980270.66,3143037.5020123622,0.0,6.402603335212211e-08
2012-11-29,3116036.61,2564940.27,3116036.61,2564940.272678845,0.0,1.0444083665749717e-07
2012-11-30,3184691.98,2466641.44,3184691.98,2466641.443082117,0.0,1.2495196974341418e-07
2012-12-01,3064822.76,2435991.34,3064822.76,2435991.3394424077,0.0,2.2889742237262355e-08
2012-12-02,1765509.34,1464812.23,1765509.34,1464812.225700879,0.0,2.934929740121669e-07
2012-12-03,2315389.05,1807129.65,2315389.0500000003,1807129.6520879718,2.011157854045044e-14,1.155407911142682e-07
2012-12-04,2382954.42,1864688.02,2382954.42,1864688.0152109659,0.0,2.5682763476446386e-07
2012-12-05,2286277.45,1849992.69,2286277.45,1849992.6934204567,0.0,1.8489028614800015e-07
2012-12-06,2733678.5,2184618.1,2733678.5,2184618.103481129,0.0,1.5934724328723566e-07
2012-12-07,2065198.04,1633326.72,2065198.04,1633326.7158736151,0.0,2.5263683032851575e-07
2012-12-08,2087384.34,1719369.91,2087384.34,1719369.9135124716,0.0,2.04288307072952e-07
2012-12-09,2430122.78,1883727.02,2430122.78,1883727.0169584572,0.0,1.6146409757773574e-07
2012-12-10,2542389.69,2015472.58,2542389.69,2015472.5835440466,0.0,1.758419627588568e-07
2012-12-11,3699430.17,3001083.16,3699430.17,3001083.156068486,0.0,1.3100316711922084e-07
2012-12-12,4386420.92,3545221.89,4386420.92,3545221.8909902847,0.0,2.793293727559559e-08
2012-12-13,2326824.81,1839144.84,2326824.81,1839144.8353209316,0.0,2.5441544110986023e-07
2012-12-14,2659317.57,2101555.8,2659317.57,2101555.797219413,0.0,1.3231087876684728e-07
2012-12-15,3385542.75,2693057.28,3385542.75,2693057.27821505,0.0,6.627967316921165e-08
2012-12-16,3484853.43,2706611.68,3484853.43,2706611.6845859173,0.0,1.6943387711091625e-07
2012-12-17,4281691.85,3433745.61,4281691.85,3433745.6147102737,0.0,1.3717596910685493e-07
2012-12-18,4394537.67,3473710.24,4394537.67,3473710.2368254303,0.0,9.138844935525425e-08
2012-12-19,3785472.73,3004383.53,3785472.73,3004383.5252783126,0.0,1.5715993408250044e-07
2012-12-20,3905985.95,3132486.67,3905985.95,3132486.6746040806,0.0,1.4697846078730903e-07
2012-12-21,3966203.09,3174444.37,3966203.09,3174444.3723937273,0.0,7.54061785871699e-08
2012-12-22,3225123.87,2559516.54,3225123.87,2559516.538713138,0.0,5.0277540007389324e-08
2012-12-23,2151580.15,1770780.57,2151580.15,1770780.5727602488,0.0,1.5587751363068066e-07
2012-12-24,3297376.6,2599138.83,3297376.6,2599138.8257904784,0.0,1.6195832418256004e-07
2012-12-25,4917024.98,3856446.89,4917024.9799999995,3856446.888237754,1.8940773707752823e-14,4.569611089292019e-08
2012-12-26,3285221.25,2658633.45,3285221.25,2658633.4457070464,0.0,1.614721938984044e-07
2012-12-27,4994041.71,3924374.73,4994041.71,3924374.72856053,0.0,3.6680234826978446e-08
2012-12-28,8573663.31,6682336.48,8573663.31,6682336.483115843,0.0,4.662803389480457e-08
2012-12-29,7842913.37,6260959.87,7842913.37,6260959.873633748,0.0,5.8038190374717014e-08
2012-12-30,6511908.92,5180121.12,6511908.92,5180121.120097665,0.0,1.8853807115653194e-09
2012-12-31,5573749.22,4432224.44,5573749.22,4432224.43735584,0.0,5.965764591174984e-08
2013-01-01,5304546.99,4156070.2,5304546.99,4156070.197070572,0.0,7.048553045766573e-08
2013-01-02,1606940.44,1237497.84,1606940.44,1237497.8395401868,0.0,3.7156693544700244e-08
2013-01-03,2281680.01,1832133.02,2281680.01,1832133.0196917208,0.0,1.6826244466641534e-08
2013-01-04,2376895.46,1940747.07,2376895.46,1940747.074533434,0.0,2.3359220225705728e-07
2013-01-05,2509462.77,1977027.71,2509462.77,1977027.7145447754,0.0,2.2987919918259417e-07
2013-01-06,2603356.52,2060481.76,2603356.52,2060481.7609435967,0.0,4.579495562518251e-08
2013-01-07,3048100.39,2452517.39,3048100.39,2452517.39246589,0.0,1.0054525196104996e-07
2013-01-08,2449700.42,1973182.14,2449700.42,1973182.1369054166,0.0,1.56832115058057e-07
2013-01-09,2049715.7,1654806.5,2049715.7,1654806.4968469301,0.0,1.9054009493764957e-07
2013-01-10,2794331.46,2122153.07,2794331.46,2122153.072434894,0.0,1.1473696272517238e-07
2013-01-11,2343077.25,1805692.13,2343077.25,1805692.1294030969,0.0,3.305674437933719e-08
2013-01-12,2814596.53,2241879.07,2814596.5300000003,2241879.070141155,1.6544512946860603e-14,6.2962796070450125e-09
2013-01-13,2919719.62,2279740.92,2919719.62,2279740.923355424,0.0,1.4718444058356193e-07
2013-01-14,3077677.28,2477490.97,3077677.28,2477490.9661998134,0.0,1.5338852251199945e-07
2013-01-15,2536405.93,2094291.34,2536405.93,2094291.3407973684,0.0,3.8073420732033456e-08
2013-01-16,1849789.43,1445623.48,1849789.43,1445623.475795541,0.0,2.908405321924205e-07
2013-01-17,2173214.95,1763012.0,2173214.95,1763012.0038701154,0.0,2.1951724563399742e-07
2013-01-18,2099249.56,1615535.57,2099249.56,1615535.5722261153,0.0,1.377942550898996e-07
2013-01-19,2477132.79,2033637.15,2477132.79,2033637.1516129088,0.0,7.93115382147707e-08
2013-01-20,2522776.58,2018671.04,2522776.58,2018671.0355339681,0.0,2.212362401974914e-07
2013-01-21,4100379.42,3250868.59,4100379.42,3250868.5895844824,0.0,1.278173729275781e-08
2013-01-22,3538734.12,2801650.02,3538734.12,2801650.0234025894,0.0,1.2144947907034038e-07
2013-01-23,2836455.88,2322088.98,2836455.88,2322088.9810679625,0.0,4.599145453387247e-08
2013-01-24,2522924.71,2102458.71,2522924.71,2102458.7113773976,0.0,6.551366150338177e-08
2013-01-25,2823082.71,2273250.41,2823082.71,2273250.408301645,0.0,7.471043150305266e-08
2013-01-26,2312290.79,1869897.73,2312290.79,1869897.7321910458,0.0,1.1717463217549499e-07
2013-01-27,3818881.29,3023842.24,3818881.29,3023842.2383172247,0.0,5.5650243207345976e-08
2013-01-28,5008712.77,4035190.91,5008712.7700000005,4035190.9078739835,1.8594050355486418e-14,5.268689143815979e-08
2013-01-29,4833870.43,4015854.7,4833870.43,4015854.697174718,0.0,7.03531940145648e-08
2013-01-30,4296295.37,3414688.28,4296295.37,3414688.2774605784,0.0,7.436759151907878e-08
2013-01-31,3378679.46,2731823.14,3378679.46,2731823.143573655,0.0,1.3081574106475494e-07
2013-02-01,4073777.92,3289266.58,4073777.92,3289266.578764332,0.0,3.756667487225097e-08
2013-02-02,2351969.75,1915236.16,2351969.75,1915236.1550327926,0.0,2.593522107423634e-07
2013-02-03,2743224.75,2293960.05,2743224.75,2293960.053610189,0.0,1.5737802725848527e-07
2013-02-04,3599084.22,2986552.92,3599084.22,2986552.918792206,0.0,4.044107354351702e-08
2013-02-05,3829186.14,3181079.49,3829186.14,3181079.4893044885,0.0,2.1864015058700698e-08
2013-02-06,2313071.08,1919077.04,2313071.08,1919077.0431364079,0.0,1.6343313746188082e-07
2013-02-07,2839296.13,2338660.54,2839296.13,2338660.543321629,0.0,1.420312593802723e-07
2013-02-08,2648161.4,2136088.4,2648161.4,2136088.4046254246,0.0,2.165371406304472e-07
2013-02-09,2957587.36,2354253.06,2957587.36,2354253.0614391556,0.0,6.113002758869383e-08
2013-02-10,3380985.73,2832001.18,3380985.73,2832001.178328914,0.0,5.900725173677972e-08
2013-02-11,4189315.44,3426089.62,4189315.44,3426089.6176266633,0.0,6.927246737766098e-08
2013-02-12,3967295.55,3276616.25,3967295.55,3276616.24640729,0.0,1.0964695700045368e-07
2013-02-13,3156812.35,2628245.52,3156812.35,2628245.516839962,0.0,1.2023374557631393e-07
2013-02-14,3286622.13,2725794.93,3286622.13,2725794.932520157,0.0,9.245585559381518e-08
2013-02-15,2860640.37,2293142.09,2860640.37,2293142.0908240667,0.0,3.5936142548841666e-08
2013-02-16,3339909.75,2755975.45,3339909.75,2755975.445567552,0.0,1.608304669760509e-07
2013-02-17,3433567.61,2907659.44,3433567.61,2907659.442608394,0.0,8.970769459416831e-08
2013-02-18,4473211.04,3823113.82,4473211.04,3823113.8235911126,0.0,9.393162122732494e-08
2013-02-19,4318301.23,3421155.04,4318301.2299999995,3421155.0366575317,2.1566873754554598e-14,9.769999466382185e-08
2013-02-20,3392471.04,2787089.48,3392471.04,2787089.4763023844,0.0,1.3266942482578376e-07
2013-02-21,3412803.18,2676550.95,3412803.18,2676550.9485230874,0.0,5.517969905427886e-08
2013-02-22,3535377.38,2908690.59,3535377.38,2908690.5881587123,0.0,6.33029721558864e-08
2013-02-23,4286140.45,3439856.85,4286140.45,3439856.847830446,0.0,6.307105837245281e-08
2013-02-24,5419232.89,4431878.1,5419232.89,4431878.098702017,0.0,2.92874122507215e-08
2013-02-25,9128225.25,7430696.94,9128225.25,7430696.937494205,0.0,3.3722208281060516e-08
2013-02-26,6762535.71,5653323.87,6762535.71,5653323.871341409,0.0,2.372779413977194e-08
2013-02-27,5716765.68,4880975.48,5716765.68,4880975.481365207,0.0,2.7969945965693784e-08
2013-02-28,4367566.41,3573846.75,4367566.41,3573846.746956436,0.0,8.516213059467458e-08
2013-03-01,2693901.21,2256905.73,2693901.21,2256905.7263610037,0.0,1.61238293147693e-07
2013-03-02,279813.94,236576.31,279813.94,236576.31017282695,0.0,7.305336542745414e-08
2013-03-03,1959484.08,1505793.8,1959484.08,1505793.8006563322,0.0,4.3587118114179005e-08
2013-03-04,1412869.43,1130489.5,1412869.43,1130489.496051826,0.0,3.4924463706718227e-07
2013-03-05,2440470.72,1954056.55,2440470.7199999997,1954056.5505418319,1.9080797958016034e-14,2.772856457911122e-08
2013-03-06,3247761.18,2622451.1,3247761.18,2622451.104961691,0.0,1.8920051037203545e-07
2013-03-07,4017685.67,3191424.08,4017685.67,3191424.081196506,0.0,3.7491287197645884e-08
2013-03-08,3622255.55,2838056.23,3622255.55,2838056.225712866,0.0,1.5105880846705658e-07
2013-03-09,3263371.09,2560913.71,3263371.09,2560913.71143072,0.0,5.5867563412204505e-08
2013-03-10,3510986.19,2877727.07,3510986.19,2877727.0681572435,0.0,6.403513068349308e-08
2013-03-11,3242639.13,2568418.97,3242639.13,2568418.9712660294,0.0,4.929216037221036e-08
2013-03-12,3660190.99,2853606.73,3660190.99,2853606.729305804,0.0,2.4326975342751418e-08
2013-03-13,4335373.37,3463021.54,4335373.37,3463021.5391725707,0.0,2.3893277616330858e-08
2013-03-14,6692797.3,5359353.2,6692797.3,5359353.198441376,0.0,2.9082319261463868e-08
2013-03-15,5330057.69,4206775.58,5330057.69,4206775.578542924,0.0,3.46364214591097e-08
2013-03-16,3591734.21,2762570.88,3591734.21,2762570.8790708706,0.0,3.36327772322084e-08
2013-03-17,4401297.64,3565497.63,4401297.64,3565497.6290408857,0.0,2.689986843616494e-08
2013-03-18,4567013.37,3743618.37,4567013.37,3743618.3676799918,0.0,6.197235196275821e-08
2013-03-19,4645433.62,3929520.42,4645433.62,3929520.415661385,0.0,1.1041080448899598e-07
2013-03-20,4992105.19,4308112.41,4992105.19,4308112.410824405,0.0,1.913610421331769e-08
2013-03-21,7355693.45,6496769.78,7355693.45,6496769.782881268,0.0,4.4349240267303136e-08
2013-03-22,6603332.26,6021167.98,6603332.26,6021167.9837412005,0.0,6.21341257116708e-08
2013-03-23,6009508.61,5393148.03,6009508.61,5393148.025183557,0.0,8.93067209090713e-08
2013-03-24,5088153.2,4610104.28,5088153.2,4610104.277988387,0.0,4.363486955675602e-08
2013-03-25,4694308.82,4169990.65,4694308.82,4169990.653469533,0.0,8.320242365504429e-08
2013-03-26,5731432.22,5192620.7,5731432.22,5192620.703736079,0.0,7.194977170518654e-08
2013-03-27,6872130.59,6081507.57,6872130.59,6081507.5666059265,0.0,5.580974400896932e-08
2013-03-28,8099154.93,7239463.63,8099154.93,7239463.633114622,0.0,4.3022829390007515e-08
2013-03-29,8381683.44,7644413.84,8381683.44,7644413.84249271,0.0,3.2608255764811434e-08
2013-03-30,11636994.38,10600188.31,11636994.38,10600188.309962846,0.0,3.505049316591801e-10
2013-03-31,9455023.8,8513517.85,9455023.8,8513517.847364359,0.0,3.095830736428955e-08
2013-04-01,10313848.23,9188774.52,10313848.23,9188774.521137936,0.0,1.2383985321623961e-08
2013-04-02,8250013.05,7374699.1,8250013.05,7374699.104846523,0.0,6.571825440145901e-08
2013-04-03,8740749.51,7769943.74,8740749.51,7769943.744429059,0.0,5.700246039530904e-08
2013-04-04,4270660.8,3779960.51,4270660.8,3779960.513186505,0.0,8.42999623793865e-08
2013-04-05,3073716.42,2637291.44,3073716.42,2637291.442560613,0.0,9.709253867082451e-08
2013-04-06,3663196.56,3221790.63,3663196.56,3221790.6253668773,0.0,1.4380582481981935e-07
2013-04-07,2924734.26,2598895.09,2924734.2600000002,2598895.0888248663,1.5921490498344944e-14,4.52166582616486e-08
2013-04-08,4670874.28,4351446.44,4670874.28,4351446.443053682,0.0,7.017624982968089e-08
2013-04-09,4293257.18,3845242.09,4293257.18,3845242.0947467918,0.0,1.2344585322727588e-07
