zip,city,region,district
16159,Uong Bi,East,District #14
10576,Hai Phong,East,District #02
10590,Bac Ninh,East,District #02
14006,Bac Giang,East,District #06
14033,Ninh Binh,East,District #06
14037,Hanoi,East,District #06
14051,Son Tay,East,District #06
14094,Bac Giang,East,District #06
14120,Hanoi,East,District #06
14174,Bac Ninh,East,District #06
14304,Son Tay,East,District #06
14424,Hanoi,East,District #06
14456,Thai Nguyen,East,District #06
14564,Uong Bi,East,District #06
14611,Ninh Binh,East,District #06
14622,Bac Giang,East,District #06
14821,Son Tay,East,District #06
14840,Ninh Binh,East,District #06
10307,Hai Phong,East,District #03
10453,Uong Bi,East,District #03
10466,Uong Bi,East,District #03
10471,Hai Phong,East,District #03
10472,Bac Ninh,East,District #03
10530,Cam Pha,East,District #03
10913,Bac Ninh,East,District #03
11003,Hanoi,East,District #03
11102,Cam Pha,East,District #03
11229,Bac Giang,East,District #03
11375,Hanoi,East,District #03
11423,Thai Nguyen,East,District #03
11433,Bac Ninh,East,District #03
11501,Uong Bi,East,District #03
11510,Viet Tri,East,District #03
11557,Cam Pha,East,District #03
11572,Lao Cai,East,District #03
11580,Uong Bi,East,District #03
11598,Hanoi,East,District #03
11713,Bac Ninh,East,District #03
11722,Bac Giang,East,District #03
11725,Phu Ly,East,District #03
11726,Viet Tri,East,District #03
11777,Cam Pha,East,District #03
11901,Bac Giang,East,District #03
11934,Hai Phong,East,District #03
11949,Ha Long,East,District #03
11967,Viet Tri,East,District #03
11972,Nam Dinh,East,District #03
11976,Hanoi,East,District #03
10019,Hai Phong,East,District #03
10022,Uong Bi,East,District #03
10940,Bac Giang,East,District #01
10990,Nam Dinh,East,District #01
12083,Nam Dinh,East,District #01
12148,Son Tay,East,District #01
12158,Cam Pha,East,District #01
12185,Bac Giang,East,District #01
12402,Lao Cai,East,District #01
12477,Phu Ly,East,District #01
12515,Viet Tri,East,District #01
12572,Hai Phong,East,District #01
12590,Cam Pha,East,District #01
12729,Phu Ly,East,District #01
12769,Ninh Binh,East,District #01
12804,Lao Cai,East,District #01
13027,Uong Bi,East,District #01
13077,Nam Dinh,East,District #01
13110,Phu Ly,East,District #01
13346,Thai Nguyen,East,District #01
13431,Hanoi,East,District #01
13440,Phu Ly,East,District #01
13502,Nam Dinh,East,District #01
13736,Cam Pha,East,District #01
13760,Ninh Binh,East,District #01
32911,Uong Bi,East,District #10
32922,Son Tay,East,District #10
32927,Bac Ninh,East,District #10
32953,Hanoi,East,District #10
32962,Ha Long,East,District #10
33015,Lao Cai,East,District #10
33040,Viet Tri,East,District #10
33064,Lao Cai,East,District #10
33160,Nam Dinh,East,District #10
33304,Phu Ly,East,District #10
33314,Lao Cai,East,District #10
33407,Viet Tri,East,District #10
33421,Thai Nguyen,East,District #10
33441,Nam Dinh,East,District #10
33463,Son Tay,East,District #10
33498,Phu Ly,East,District #10
33541,Bac Ninh,East,District #10
33617,Hanoi,East,District #10
33704,Thai Nguyen,East,District #10
33766,Ninh Binh,East,District #10
33773,Ha Long,East,District #10
33805,Lao Cai,East,District #10
33811,Cam Pha,East,District #10
33860,Hai Phong,East,District #10
33912,Son Tay,East,District #10
33919,Thai Nguyen,East,District #10
33931,Uong Bi,East,District #10
34688,Nam Dinh,East,District #10
34951,Ha Long,East,District #10
34953,Thai Nguyen,East,District #10
34974,Bac Giang,East,District #10
34994,Uong Bi,East,District #10
34997,Thai Nguyen,East,District #10
33126,Viet Tri,East,District #10
33165,Cam Pha,East,District #10
32025,Bac Giang,East,District #12
32086,Nam Dinh,East,District #12
32114,Son Tay,East,District #12
32119,Lao Cai,East,District #12
32127,Bac Giang,East,District #12
32168,Son Tay,East,District #12
32205,Nam Dinh,East,District #12
32258,Bac Ninh,East,District #12
32303,Son Tay,East,District #12
32311,Lao Cai,East,District #12
32328,Cam Pha,East,District #12
32399,Thai Nguyen,East,District #12
32701,Bac Ninh,East,District #12
32754,Hai Phong,East,District #12
32765,Hanoi,East,District #12
32779,Nam Dinh,East,District #12
32804,Hai Phong,East,District #12
32821,Bac Ninh,East,District #12
32837,Ninh Binh,East,District #12
34476,Lao Cai,East,District #12
34705,Ha Long,East,District #12
34736,Phu Ly,East,District #12
34759,Son Tay,East,District #12
34786,Thai Nguyen,East,District #12
32405,Son Tay,East,District #09
32433,Cam Pha,East,District #09
32504,Cam Pha,East,District #09
32514,Uong Bi,East,District #09
32547,Bac Ninh,East,District #09
32569,Ninh Binh,East,District #09
43938,Bac Giang,East,District #13
43948,Uong Bi,East,District #13
43976,Thai Nguyen,East,District #13
44442,Viet Tri,East,District #13
44455,Hai Phong,East,District #13
43318,Hai Phong,East,District #16
45036,Thai Nguyen,East,District #16
45102,Uong Bi,East,District #16
45122,Bac Giang,East,District #16
45322,Viet Tri,East,District #16
45324,Cam Pha,East,District #16
45331,Nam Dinh,East,District #16
45341,Uong Bi,East,District #16
45345,Ha Long,East,District #16
45371,Nam Dinh,East,District #16
45415,Thai Nguyen,East,District #16
45419,Ninh Binh,East,District #16
45424,Bac Giang,East,District #16
45439,Ha Long,East,District #16
45801,Bac Ninh,East,District #16
45840,Nam Dinh,East,District #16
45875,Hanoi,East,District #16
45206,Ha Long,East,District #16
45244,Nam Dinh,East,District #16
45247,Viet Tri,East,District #16
43055,Lao Cai,East,District #15
43068,Phu Ly,East,District #15
43078,Hanoi,East,District #15
43081,Cam Pha,East,District #15
43119,Viet Tri,East,District #15
43123,Hanoi,East,District #15
43154,Uong Bi,East,District #15
43224,Bac Ninh,East,District #15
43232,Son Tay,East,District #15
43311,Uong Bi,East,District #15
43344,Hai Phong,East,District #15
43912,Thai Nguyen,East,District #15
45601,Viet Tri,East,District #15
45640,Ha Long,East,District #15
45645,Uong Bi,East,District #15
45651,Hai Phong,East,District #15
45669,Bac Giang,East,District #15
45680,Bac Giang,East,District #15
45692,Son Tay,East,District #15
45710,Ha Long,East,District #15
43506,Ninh Binh,East,District #14
43528,Son Tay,East,District #14
43556,Lao Cai,East,District #14
43567,Viet Tri,East,District #14
43616,Bac Giang,East,District #14
44044,Lao Cai,East,District #14
44053,Cam Pha,East,District #14
44054,Ha Long,East,District #14
44056,Lao Cai,East,District #14
44077,Hanoi,East,District #14
44089,Hanoi,East,District #14
44090,Lao Cai,East,District #14
44110,Ninh Binh,East,District #14
44121,Son Tay,East,District #14
44122,Ha Long,East,District #14
44132,Thai Nguyen,East,District #14
44141,Uong Bi,East,District #14
44145,Thai Nguyen,East,District #14
44203,Bac Giang,East,District #14
44212,Son Tay,East,District #14
44221,Thai Nguyen,East,District #14
44224,Ninh Binh,East,District #14
44231,Cam Pha,East,District #14
44254,Uong Bi,East,District #14
44255,Son Tay,East,District #14
44260,Ninh Binh,East,District #14
44319,Son Tay,East,District #14
44405,Cam Pha,East,District #14
44406,Ninh Binh,East,District #14
44420,Bac Ninh,East,District #14
44425,Bac Giang,East,District #14
44444,Hanoi,East,District #14
44483,Ninh Binh,East,District #14
44601,Bac Giang,East,District #14
44646,Bac Giang,East,District #14
44710,Nam Dinh,East,District #14
44718,Hai Phong,East,District #14
44720,Nam Dinh,East,District #14
44830,Ha Long,East,District #14
44839,Nam Dinh,East,District #14
44865,Uong Bi,East,District #14
44889,Viet Tri,East,District #14
44890,Lao Cai,East,District #14
44905,Hai Phong,East,District #14
48021,Viet Tri,East,District #18
48030,Hanoi,East,District #18
48038,Nam Dinh,East,District #18
48044,Son Tay,East,District #18
48047,Thai Nguyen,East,District #18
48063,Bac Ninh,East,District #18
48064,Viet Tri,East,District #18
48067,Hanoi,East,District #18
48091,Lao Cai,East,District #18
48105,Bac Ninh,East,District #18
48114,Phu Ly,East,District #18
48116,Ha Long,East,District #18
48141,Nam Dinh,East,District #18
48146,Uong Bi,East,District #18
48158,Son Tay,East,District #18
48170,Lao Cai,East,District #18
48189,Viet Tri,East,District #18
48195,Phu Ly,East,District #18
48198,Ha Long,East,District #18
48228,Phu Ly,East,District #18
48239,Son Tay,East,District #18
48302,Ha Long,East,District #18
48322,Ha Long,East,District #18
48334,Thai Nguyen,East,District #18
48335,Bac Giang,East,District #18
48374,Nam Dinh,East,District #18
48383,Son Tay,East,District #18
48415,Uong Bi,East,District #18
48419,Hai Phong,East,District #18
48428,Son Tay,East,District #18
48438,Cam Pha,East,District #18
48442,Uong Bi,East,District #18
48446,Nam Dinh,East,District #18
48463,Bac Giang,East,District #18
48722,Nam Dinh,East,District #18
48729,Son Tay,East,District #18
48746,Hanoi,East,District #18
48762,Cam Pha,East,District #18
48843,Nam Dinh,East,District #18
48854,Son Tay,East,District #18
48858,Hanoi,East,District #18
48867,Phu Ly,East,District #18
48877,Cam Pha,East,District #18
49001,Cam Pha,East,District #18
49017,Bac Giang,East,District #18
49026,Viet Tri,East,District #18
49051,Ha Long,East,District #18
49055,Ha Long,East,District #18
49071,Son Tay,East,District #18
49097,Hai Phong,East,District #18
49201,Son Tay,East,District #18
49264,Bac Giang,East,District #18
49301,Lao Cai,East,District #18
49318,Bac Giang,East,District #18
49333,Cam Pha,East,District #18
49417,Ha Long,East,District #18
49418,Bac Ninh,East,District #18
49424,Nam Dinh,East,District #18
49431,Bac Giang,East,District #18
49663,Bac Ninh,East,District #18
49707,Ha Long,East,District #18
48131,Cam Pha,East,District #14
48144,Lao Cai,East,District #14
48157,Phu Ly,East,District #14
49022,Hanoi,East,District #17
49129,Nam Dinh,East,District #17
46714,Viet Tri,East,District #16
46788,Cam Pha,East,District #16
46809,Thai Nguyen,East,District #16
47022,Lao Cai,East,District #16
47126,Hanoi,East,District #16
47161,Phu Ly,East,District #16
47374,Cam Pha,East,District #16
47380,Ninh Binh,East,District #16
46032,Bac Ninh,East,District #17
46051,Ha Long,East,District #17
46113,Nam Dinh,East,District #17
46123,Ninh Binh,East,District #17
46151,Thai Nguyen,East,District #17
46158,Bac Ninh,East,District #17
46201,Ninh Binh,East,District #17
46227,Ninh Binh,East,District #17
46236,Thai Nguyen,East,District #17
46237,Hanoi,East,District #17
46239,Lao Cai,East,District #17
46240,Bac Giang,East,District #17
46250,Hanoi,East,District #17
46254,Ninh Binh,East,District #17
46304,Ninh Binh,East,District #17
46307,Cam Pha,East,District #17
46350,Nam Dinh,East,District #17
46360,Son Tay,East,District #17
46368,Bac Giang,East,District #17
46392,Phu Ly,East,District #17
46534,Ha Long,East,District #17
46567,Cam Pha,East,District #17
46574,Phu Ly,East,District #17
46996,Lao Cai,East,District #17
47303,Lao Cai,East,District #17
47356,Viet Tri,East,District #17
47429,Hai Phong,East,District #17
47448,Nam Dinh,East,District #17
47802,Hai Phong,East,District #17
47803,Uong Bi,East,District #17
47909,Bac Giang,East,District #17
47920,Nam Dinh,East,District #17
47933,Bac Giang,East,District #17
47946,Nam Dinh,East,District #17
24712,Ninh Binh,East,District #15
24822,Viet Tri,East,District #15
24981,Hai Phong,East,District #15
25064,Lao Cai,East,District #15
25123,Lao Cai,East,District #15
25313,Hai Phong,East,District #15
25504,Phu Ly,East,District #15
25508,Nam Dinh,East,District #15
25541,Phu Ly,East,District #15
25557,Thai Nguyen,East,District #15
25571,Thai Nguyen,East,District #15
25632,Cam Pha,East,District #15
25669,Lao Cai,East,District #15
25812,Ninh Binh,East,District #15
26201,Ninh Binh,East,District #13
26264,Cam Pha,East,District #13
26301,Cam Pha,East,District #13
26330,Hai Phong,East,District #13
26351,Ninh Binh,East,District #13
7005,Uong Bi,East,District #03
7006,Bac Ninh,East,District #03
7009,Hanoi,East,District #03
7052,Hai Phong,East,District #03
7070,Viet Tri,East,District #03
7074,Uong Bi,East,District #03
7109,Nam Dinh,East,District #03
7304,Phu Ly,East,District #03
7417,Ha Long,East,District #03
7450,Bac Giang,East,District #03
7452,Lao Cai,East,District #03
7456,Bac Ninh,East,District #03
7644,Son Tay,East,District #03
7647,Son Tay,East,District #03
7801,Uong Bi,East,District #03
7822,Ha Long,East,District #03
7830,Lao Cai,East,District #03
7843,Bac Ninh,East,District #03
7960,Thai Nguyen,East,District #03
8804,Hanoi,East,District #03
8807,Lao Cai,East,District #03
7039,Cam Pha,East,District #04
7078,Son Tay,East,District #04
7081,Son Tay,East,District #04
7206,Lao Cai,East,District #04
7722,Hanoi,East,District #04
7726,Cam Pha,East,District #04
7728,Thai Nguyen,East,District #04
7980,Hanoi,East,District #04
8016,Lao Cai,East,District #04
8021,Cam Pha,East,District #04
8075,Hai Phong,East,District #04
8210,Lao Cai,East,District #04
8225,Hai Phong,East,District #04
8234,Nam Dinh,East,District #04
8330,Bac Ninh,East,District #04
8361,Hanoi,East,District #04
8505,Bac Giang,East,District #04
8514,Uong Bi,East,District #04
8534,Son Tay,East,District #04
8620,Uong Bi,East,District #04
8724,Uong Bi,East,District #04
8753,Nam Dinh,East,District #04
8757,Nam Dinh,East,District #04
8820,Cam Pha,East,District #04
20853,Hanoi,East,District #05
20874,Ha Long,East,District #05
20876,Ninh Binh,East,District #05
21009,Viet Tri,East,District #05
21075,Phu Ly,East,District #05
21111,Hanoi,East,District #05
21117,Viet Tri,East,District #05
21122,Bac Ninh,East,District #05
21144,Son Tay,East,District #05
21146,Phu Ly,East,District #05
21157,Ninh Binh,East,District #05
21206,Phu Ly,East,District #05
21216,Lao Cai,East,District #05
21217,Ha Long,East,District #05
21218,Son Tay,East,District #05
21219,Son Tay,East,District #05
21601,Hanoi,East,District #05
21629,Ha Long,East,District #05
21640,Lao Cai,East,District #05
21769,Son Tay,East,District #05
21784,Ninh Binh,East,District #05
21787,Thai Nguyen,East,District #05
21797,Uong Bi,East,District #05
21821,Bac Giang,East,District #05
21901,Nam Dinh,East,District #05
21531,Ha Long,East,District #13
21649,Viet Tri,East,District #04
41129,Nam Dinh,East,District #15
41174,Bac Ninh,East,District #15
40013,Ninh Binh,East,District #16
40104,Ha Long,East,District #16
40115,Phu Ly,East,District #16
40162,Ha Long,East,District #16
40336,Hai Phong,East,District #16
40353,Viet Tri,East,District #16
40475,Hai Phong,East,District #16
40502,Cam Pha,East,District #16
40509,Ha Long,East,District #16
40517,Viet Tri,East,District #16
40601,Cam Pha,East,District #16
41005,Ninh Binh,East,District #16
41010,Hai Phong,East,District #16
41015,Phu Ly,East,District #16
41042,Bac Ninh,East,District #16
41075,Bac Ninh,East,District #16
41097,Hanoi,East,District #16
42724,Phu Ly,East,District #16
42748,Ha Long,East,District #16
40212,Ninh Binh,East,District #16
40218,Ninh Binh,East,District #16
40220,Son Tay,East,District #16
40272,Ninh Binh,East,District #16
62428,Uong Bi,East,District #17
62441,Thai Nguyen,East,District #17
62858,Cam Pha,East,District #17
61844,Hanoi,East,District #17
61866,Thai Nguyen,East,District #17
61872,Phu Ly,East,District #17
61920,Cam Pha,East,District #17
61938,Ha Long,East,District #17
31516,Ninh Binh,East,District #12
31548,Uong Bi,East,District #12
19709,Ha Long,East,District #04
19720,Thai Nguyen,East,District #04
19971,Hanoi,East,District #04
19977,Lao Cai,East,District #04
20176,Hai Phong,East,District #05
6820,Lao Cai,East,District #03
6878,Lao Cai,East,District #03
1247,Bac Ninh,East,District #01
5262,Thai Nguyen,East,District #01
24112,Thai Nguyen,East,District #08
24541,Lao Cai,East,District #08
27018,Son Tay,East,District #08
27103,Bac Ninh,East,District #08
27127,Bac Ninh,East,District #08
27253,Bac Ninh,East,District #08
27263,Ha Long,East,District #08
27360,Bac Giang,East,District #08
27526,Son Tay,East,District #08
27551,Bac Giang,East,District #08
27563,Uong Bi,East,District #08
27603,Cam Pha,East,District #08
27612,Lao Cai,East,District #08
27613,Lao Cai,East,District #08
27614,Ninh Binh,East,District #08
27707,Ha Long,East,District #08
27713,Ha Long,East,District #08
27804,Thai Nguyen,East,District #08
27850,Bac Giang,East,District #08
28314,Ninh Binh,East,District #08
28338,Bac Giang,East,District #08
28390,Hai Phong,East,District #08
28451,Hai Phong,East,District #08
28462,Uong Bi,East,District #08
28510,Ninh Binh,East,District #08
28518,Lao Cai,East,District #08
28539,Thai Nguyen,East,District #08
28584,Phu Ly,East,District #08
28590,Ninh Binh,East,District #08
28635,Bac Giang,East,District #08
28659,Lao Cai,East,District #08
35160,Ha Long,East,District #09
36067,Bac Giang,East,District #09
36092,Lao Cai,East,District #09
36106,Son Tay,East,District #09
36117,Nam Dinh,East,District #09
36351,Bac Ninh,East,District #09
36420,Hai Phong,East,District #09
36580,Ninh Binh,East,District #09
36801,Viet Tri,East,District #09
30004,Nam Dinh,East,District #09
30017,Phu Ly,East,District #09
30019,Ninh Binh,East,District #09
30032,Uong Bi,East,District #09
30052,Hai Phong,East,District #09
30060,Ninh Binh,East,District #09
30075,Phu Ly,East,District #09
30082,Bac Giang,East,District #09
30116,Ha Long,East,District #09
30120,Thai Nguyen,East,District #09
30126,Ninh Binh,East,District #09
30127,Uong Bi,East,District #09
30139,Ninh Binh,East,District #09
30141,Hanoi,East,District #09
30152,Hanoi,East,District #09
30153,Nam Dinh,East,District #09
30157,Phu Ly,East,District #09
30180,Uong Bi,East,District #09
30187,Thai Nguyen,East,District #09
30189,Hai Phong,East,District #09
30213,Hanoi,East,District #09
30220,Hai Phong,East,District #09
30230,Ha Long,East,District #09
30236,Nam Dinh,East,District #09
30518,Uong Bi,East,District #09
30533,Nam Dinh,East,District #09
30656,Bac Giang,East,District #09
30666,Bac Ninh,East,District #09
30683,Uong Bi,East,District #09
30711,Uong Bi,East,District #09
31002,Phu Ly,East,District #09
31008,Hai Phong,East,District #09
31027,Son Tay,East,District #09
31046,Nam Dinh,East,District #09
30306,Phu Ly,East,District #09
30345,Son Tay,East,District #09
6010,Nam Dinh,East,District #02
6029,Cam Pha,East,District #02
6037,Phu Ly,East,District #02
6118,Cam Pha,East,District #02
6239,Hai Phong,East,District #02
6250,Lao Cai,East,District #02
6277,Phu Ly,East,District #02
6360,Son Tay,East,District #02
6374,Son Tay,East,District #02
6388,Thai Nguyen,East,District #02
6410,Ha Long,East,District #02
6415,Ninh Binh,East,District #02
6424,Viet Tri,East,District #02
6470,Nam Dinh,East,District #02
6478,Uong Bi,East,District #02
6479,Phu Ly,East,District #02
6484,Nam Dinh,East,District #02
6513,Nam Dinh,East,District #02
6525,Hanoi,East,District #02
6604,Son Tay,East,District #02
6606,Cam Pha,East,District #02
6611,Hanoi,East,District #02
6614,Phu Ly,East,District #02
6791,Nam Dinh,East,District #02
6810,Phu Ly,East,District #02
6840,Phu Ly,East,District #02
6877,Ninh Binh,East,District #02
2814,Cam Pha,East,District #02
2840,Viet Tri,East,District #02
2886,Uong Bi,East,District #02
2889,Ha Long,East,District #02
1010,Cam Pha,East,District #02
1040,Uong Bi,East,District #02
1109,Hanoi,East,District #02
1118,Viet Tri,East,District #02
1330,Phu Ly,East,District #02
1450,Viet Tri,East,District #02
1473,Lao Cai,East,District #02
1540,Thai Nguyen,East,District #02
2050,Hai Phong,East,District #02
2351,Thai Nguyen,East,District #02
2356,Thai Nguyen,East,District #02
2360,Son Tay,East,District #02
2648,Phu Ly,East,District #02
2660,Ha Long,East,District #02
2720,Thai Nguyen,East,District #02
2725,Ninh Binh,East,District #02
2743,Lao Cai,East,District #02
2747,Son Tay,East,District #02
2771,Ninh Binh,East,District #02
2777,Viet Tri,East,District #02
2780,Ha Long,East,District #02
2790,Hanoi,East,District #02
27295,Thai Nguyen,East,District #11
28021,Uong Bi,East,District #11
28025,Hai Phong,East,District #11
28032,Bac Giang,East,District #11
28043,Viet Tri,East,District #11
28114,Ninh Binh,East,District #11
28115,Bac Ninh,East,District #11
28120,Ninh Binh,East,District #11
28127,Hanoi,East,District #11
28610,Hanoi,East,District #11
28704,Lao Cai,East,District #11
28715,Viet Tri,East,District #11
28739,Bac Giang,East,District #11
28216,Hai Phong,East,District #11
30635,Bac Giang,East,District #11
30813,Phu Ly,East,District #11
30907,Bac Giang,East,District #11
31326,Nam Dinh,East,District #11
31525,Viet Tri,East,District #11
29020,Nam Dinh,East,District #11
29040,Hanoi,East,District #11
29073,Cam Pha,East,District #11
29150,Hanoi,East,District #11
29160,Bac Giang,East,District #11
29384,Cam Pha,East,District #11
29412,Phu Ly,East,District #11
29440,Thai Nguyen,East,District #11
29510,Ha Long,East,District #11
29544,Phu Ly,East,District #11
29576,Viet Tri,East,District #11
29577,Nam Dinh,East,District #11
29611,Phu Ly,East,District #11
29642,Son Tay,East,District #11
29651,Phu Ly,East,District #11
29669,Cam Pha,East,District #11
29693,Ninh Binh,East,District #11
29704,Ha Long,East,District #11
29706,Bac Ninh,East,District #11
29728,Lao Cai,East,District #11
29742,Son Tay,East,District #11
29745,Uong Bi,East,District #11
29816,Ha Long,East,District #11
29822,Bac Giang,East,District #11
29906,Hai Phong,East,District #11
29910,Son Tay,East,District #11
20650,Phu Ly,East,District #07
20745,Son Tay,East,District #07
20816,Son Tay,East,District #07
20002,Uong Bi,East,District #07
20008,Hai Phong,East,District #07
20009,Cam Pha,East,District #07
20019,Uong Bi,East,District #07
20111,Uong Bi,East,District #07
20152,Nam Dinh,East,District #07
20166,Son Tay,East,District #07
20181,Uong Bi,East,District #07
20186,Lao Cai,East,District #07
22032,Hai Phong,East,District #07
22192,Nam Dinh,East,District #07
22309,Ninh Binh,East,District #07
22407,Ninh Binh,East,District #07
22630,Hanoi,East,District #07
22642,Phu Ly,East,District #07
22742,Cam Pha,East,District #07
22903,Hanoi,East,District #07
22906,Viet Tri,East,District #07
22911,Son Tay,East,District #07
22960,Viet Tri,East,District #07
23139,Hanoi,East,District #07
23234,Viet Tri,East,District #07
23323,Son Tay,East,District #07
23325,Lao Cai,East,District #07
23666,Ninh Binh,East,District #07
23701,Uong Bi,East,District #07
23834,Uong Bi,East,District #07
24015,Phu Ly,East,District #07
24141,Bac Ninh,East,District #07
24153,Ha Long,East,District #07
24477,Phu Ly,East,District #07
24521,Thai Nguyen,East,District #07
24522,Ha Long,East,District #07
24523,Hanoi,East,District #07
24571,Cam Pha,East,District #07
40769,Phu Ly,East,District #19
40962,Hai Phong,East,District #19
41311,Son Tay,East,District #19
41501,Nam Dinh,East,District #19
41763,Uong Bi,East,District #19
42633,Nam Dinh,East,District #19
35126,Viet Tri,East,District #19
35146,Bac Giang,East,District #19
35216,Phu Ly,East,District #19
35453,Viet Tri,East,District #19
35576,Thai Nguyen,East,District #19
35620,Bac Ninh,East,District #19
35674,Ha Long,East,District #19
35749,Hai Phong,East,District #19
35801,Bac Ninh,East,District #19
35806,Lao Cai,East,District #19
24212,Bac Ninh,East,District #19
30757,Nam Dinh,East,District #19
42223,Phu Ly,East,District #19
37042,Nam Dinh,East,District #19
37043,Nam Dinh,East,District #19
37064,Son Tay,East,District #19
37069,Phu Ly,East,District #19
37121,Ninh Binh,East,District #19
37160,Viet Tri,East,District #19
37204,Uong Bi,East,District #19
37209,Ninh Binh,East,District #19
37303,Phu Ly,East,District #19
37323,Son Tay,East,District #19
37370,Hai Phong,East,District #19
37601,Viet Tri,East,District #19
37663,Bac Ninh,East,District #19
37705,Hanoi,East,District #19
37716,Hanoi,East,District #19
37757,Cam Pha,East,District #19
37803,Hai Phong,East,District #19
37813,Nam Dinh,East,District #19
37849,Thai Nguyen,East,District #19
37918,Viet Tri,East,District #19
37919,Lao Cai,East,District #19
37921,Viet Tri,East,District #19
38488,Ha Long,East,District #19
38551,Cam Pha,East,District #19
38583,Hai Phong,East,District #19
38024,Phan Thiet,Central,District #25
38109,Quy Nhon,Central,District #25
38122,Quang Ngai,Central,District #25
38135,Hue,Central,District #25
38261,Phan Thiet,Central,District #25
38344,Hoi An,Central,District #25
38351,Tuy Hoa,Central,District #25
38375,Da Nang,Central,District #25
62832,Tam Ky,Central,District #25
62864,Quy Nhon,Central,District #25
62896,Da Nang,Central,District #25
62901,Hue,Central,District #25
62910,Quy Nhon,Central,District #25
62983,Hue,Central,District #25
63755,Quy Nhon,Central,District #25
63857,Nha Trang,Central,District #25
38606,Dong Hoi,Central,District #25
38732,Hoi An,Central,District #25
42003,Nha Trang,Central,District #25
42325,Tuy Hoa,Central,District #25
42431,Quy Nhon,Central,District #25
47513,Hoi An,Central,District #25
47591,Quang Ngai,Central,District #25
47713,Tam Ky,Central,District #25
47714,Quy Nhon,Central,District #25
47720,Phan Thiet,Central,District #25
47725,Phan Rang-Thap Cham,Central,District #25
74728,Nha Trang,Central,District #25
71601,Phan Thiet,Central,District #25
71801,Quy Nhon,Central,District #25
71923,Kon Tum,Central,District #25
72023,Nha Trang,Central,District #25
72034,Phan Thiet,Central,District #25
72104,Tam Ky,Central,District #25
72206,Quang Ngai,Central,District #25
72401,Tam Ky,Central,District #25
72403,Nha Trang,Central,District #25
72450,Tuy Hoa,Central,District #25
72923,Da Nang,Central,District #25
72936,Da Nang,Central,District #25
68104,Tuy Hoa,Central,District #30
