snapshot_date,product_id,stock_on_hand,units_received,units_sold,stockout_days,days_of_supply,fill_rate,stockout_flag,overstock_flag,reorder_flag,sell_through_rate,product_name,category,segment,year,month
2020-11-30,3,115,6,5,1,690.0,0.9667,1,1,0,0.0417,DragonWear MA-03,Casual,All-weather,2020,11
2020-12-31,3,116,11,10,1,348.0,0.9667,1,1,0,0.0794,DragonWear MA-03,Casual,All-weather,2020,12
2021-01-31,3,117,9,8,0,438.8,1.0,0,1,0,0.064,DragonWear MA-03,Casual,All-weather,2021,1
2021-02-28,3,118,8,7,1,505.7,0.9667,1,1,0,0.056,DragonWear MA-03,Casual,All-weather,2021,2
2021-03-31,3,119,8,7,2,510.0,0.9333,1,1,0,0.0556,DragonWear MA-03,Casual,All-weather,2021,3
2021-04-30,3,121,15,13,2,279.2,0.9333,1,1,0,0.097,DragonWear MA-03,Casual,All-weather,2021,4
2021-05-31,3,124,18,15,2,248.0,0.9333,1,1,0,0.1079,DragonWear MA-03,Casual,All-weather,2021,5
2021-06-30,3,124,9,9,2,413.3,0.9333,1,1,0,0.0677,DragonWear MA-03,Casual,All-weather,2021,6
2021-07-31,3,125,11,10,0,375.0,1.0,0,1,0,0.0741,DragonWear MA-03,Casual,All-weather,2021,7
2021-08-31,3,125,4,4,2,937.5,0.9333,1,1,0,0.031,DragonWear MA-03,Casual,All-weather,2021,8
2021-09-30,3,126,12,11,0,343.6,1.0,0,1,0,0.0803,DragonWear MA-03,Casual,All-weather,2021,9
2021-10-31,3,127,12,11,1,346.4,0.9667,1,1,0,0.0797,DragonWear MA-03,Casual,All-weather,2021,10
2021-11-30,3,129,12,10,0,387.0,1.0,0,1,0,0.0719,DragonWear MA-03,Casual,All-weather,2021,11
2021-12-31,3,130,12,11,2,354.5,0.9333,1,1,0,0.078,DragonWear MA-03,Casual,All-weather,2021,12
2022-01-31,3,131,8,7,1,561.4,0.9667,1,1,0,0.0507,DragonWear MA-03,Casual,All-weather,2022,1
2022-02-28,3,133,11,9,0,443.3,1.0,0,1,0,0.0634,DragonWear MA-03,Casual,All-weather,2022,2
2022-03-31,3,135,14,12,0,337.5,1.0,0,1,0,0.0816,DragonWear MA-03,Casual,All-weather,2022,3
2022-04-30,3,138,17,14,2,295.7,0.9333,1,1,0,0.0921,DragonWear MA-03,Casual,All-weather,2022,4
2022-05-31,3,139,6,5,0,834.0,1.0,0,1,0,0.0347,DragonWear MA-03,Casual,All-weather,2022,5
2022-06-30,3,143,24,20,1,214.5,0.9667,1,1,0,0.1227,DragonWear MA-03,Casual,All-weather,2022,6
2022-07-31,3,144,8,7,1,617.1,0.9667,1,1,0,0.0464,DragonWear MA-03,Casual,All-weather,2022,7
2022-08-31,3,148,18,14,0,317.1,1.0,0,1,0,0.0864,DragonWear MA-03,Casual,All-weather,2022,8
2022-09-30,3,149,10,9,0,496.7,1.0,0,1,0,0.057,DragonWear MA-03,Casual,All-weather,2022,9
2022-10-31,3,150,12,11,0,409.1,1.0,0,1,0,0.0683,DragonWear MA-03,Casual,All-weather,2022,10
2022-11-30,3,151,5,4,1,1132.5,0.9667,1,1,0,0.0258,DragonWear MA-03,Casual,All-weather,2022,11
2022-12-31,3,151,5,5,2,906.0,0.9333,1,1,0,0.0321,DragonWear MA-03,Casual,All-weather,2022,12
2012-07-31,4,22,8,7,2,94.3,0.9333,1,1,0,0.2414,DragonWear MA-04,Casual,All-weather,2012,7
2012-08-31,4,24,17,15,1,48.0,0.9667,1,0,0,0.3846,DragonWear MA-04,Casual,All-weather,2012,8
2012-09-30,4,25,7,6,2,125.0,0.9333,1,1,0,0.1935,DragonWear MA-04,Casual,All-weather,2012,9
2012-10-31,4,26,7,6,1,130.0,0.9667,1,1,0,0.1875,DragonWear MA-04,Casual,All-weather,2012,10
2012-11-30,4,27,7,6,0,135.0,1.0,0,1,0,0.1818,DragonWear MA-04,Casual,All-weather,2012,11
2012-12-31,4,28,5,4,0,210.0,1.0,0,1,0,0.125,DragonWear MA-04,Casual,All-weather,2012,12
2013-01-31,4,30,11,9,1,100.0,0.9667,1,1,0,0.2308,DragonWear MA-04,Casual,All-weather,2013,1
2013-02-28,4,32,14,12,1,80.0,0.9667,1,0,0,0.2727,DragonWear MA-04,Casual,All-weather,2013,2
2013-03-31,4,32,1,1,0,960.0,1.0,0,1,0,0.0303,DragonWear MA-04,Casual,All-weather,2013,3
2013-04-30,4,33,10,9,0,110.0,1.0,0,1,0,0.2143,DragonWear MA-04,Casual,All-weather,2013,4
2013-05-31,4,33,4,4,2,247.5,0.9333,1,1,0,0.1081,DragonWear MA-04,Casual,All-weather,2013,5
2013-06-30,4,34,10,9,1,113.3,0.9667,1,1,0,0.2093,DragonWear MA-04,Casual,All-weather,2013,6
2013-07-31,4,35,11,10,1,105.0,0.9667,1,1,0,0.2222,DragonWear MA-04,Casual,All-weather,2013,7
2013-08-31,4,36,14,13,0,83.1,1.0,0,0,0,0.2653,DragonWear MA-04,Casual,All-weather,2013,8
2013-09-30,4,37,8,7,2,158.6,0.9333,1,1,0,0.1591,DragonWear MA-04,Casual,All-weather,2013,9
2013-10-31,4,38,14,13,0,87.7,1.0,0,0,0,0.2549,DragonWear MA-04,Casual,All-weather,2013,10
2013-11-30,4,38,4,4,2,285.0,0.9333,1,1,0,0.0952,DragonWear MA-04,Casual,All-weather,2013,11
2013-12-31,4,39,8,7,1,167.1,0.9667,1,1,0,0.1522,DragonWear MA-04,Casual,All-weather,2013,12
2014-01-31,4,40,9,8,2,150.0,0.9333,1,1,0,0.1667,DragonWear MA-04,Casual,All-weather,2014,1
2014-02-28,4,40,2,2,2,600.0,0.9333,1,1,0,0.0476,DragonWear MA-04,Casual,All-weather,2014,2
2014-03-31,4,40,3,3,0,400.0,1.0,0,1,0,0.0698,DragonWear MA-04,Casual,All-weather,2014,3
2014-04-30,4,40,3,3,1,400.0,0.9667,1,1,0,0.0698,DragonWear MA-04,Casual,All-weather,2014,4
2014-05-31,4,40,2,2,0,600.0,1.0,0,1,0,0.0476,DragonWear MA-04,Casual,All-weather,2014,5
2014-06-30,4,41,9,8,1,153.8,0.9667,1,1,0,0.1633,DragonWear MA-04,Casual,All-weather,2014,6
2014-07-31,4,42,5,4,2,315.0,0.9333,1,1,0,0.087,DragonWear MA-04,Casual,All-weather,2014,7
2014-08-31,4,43,7,6,2,215.0,0.9333,1,1,0,0.1224,DragonWear MA-04,Casual,All-weather,2014,8
2014-09-30,4,43,3,3,1,430.0,0.9667,1,1,0,0.0652,DragonWear MA-04,Casual,All-weather,2014,9
2014-11-30,4,43,1,1,2,1290.0,0.9333,1,1,0,0.0227,DragonWear MA-04,Casual,All-weather,2014,11
2014-12-31,4,43,1,1,1,1290.0,0.9667,1,1,0,0.0227,DragonWear MA-04,Casual,All-weather,2014,12
2015-03-31,4,43,2,2,2,645.0,0.9333,1,1,0,0.0444,DragonWear MA-04,Casual,All-weather,2015,3
2015-04-30,4,43,3,3,0,430.0,1.0,0,1,0,0.0652,DragonWear MA-04,Casual,All-weather,2015,4
2015-06-30,4,43,2,2,0,645.0,1.0,0,1,0,0.0444,DragonWear MA-04,Casual,All-weather,2015,6
2015-09-30,4,43,2,2,2,645.0,0.9333,1,1,0,0.0444,DragonWear MA-04,Casual,All-weather,2015,9
2015-10-31,4,44,7,6,1,220.0,0.9667,1,1,0,0.12,DragonWear MA-04,Casual,All-weather,2015,10
2015-11-30,4,44,1,1,2,1320.0,0.9333,1,1,0,0.0222,DragonWear MA-04,Casual,All-weather,2015,11
2015-12-31,4,44,1,1,1,1320.0,0.9667,1,1,0,0.0222,DragonWear MA-04,Casual,All-weather,2015,12
2016-02-29,4,44,2,2,1,660.0,0.9667,1,1,0,0.0435,DragonWear MA-04,Casual,All-weather,2016,2
2016-03-31,4,44,1,1,0,1320.0,1.0,0,1,0,0.0222,DragonWear MA-04,Casual,All-weather,2016,3
2016-04-30,4,44,3,3,0,440.0,1.0,0,1,0,0.0638,DragonWear MA-04,Casual,All-weather,2016,4
2016-07-31,4,44,1,1,0,1320.0,1.0,0,1,0,0.0222,DragonWear MA-04,Casual,All-weather,2016,7
2013-02-28,5,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-05,Casual,All-weather,2013,2
2013-03-31,5,3,1,1,2,90.0,0.9333,1,0,0,0.25,DragonWear MA-05,Casual,All-weather,2013,3
2019-02-28,7,3,1,1,0,90.0,1.0,0,0,0,0.25,DragonWear MA-07,Casual,All-weather,2019,2
2019-03-31,7,3,3,3,2,30.0,0.9333,1,0,0,0.5,DragonWear MA-07,Casual,All-weather,2019,3
2019-04-30,7,3,4,4,1,22.5,0.9667,1,0,0,0.5714,DragonWear MA-07,Casual,All-weather,2019,4
2019-05-31,7,3,3,3,1,30.0,0.9667,1,0,0,0.5,DragonWear MA-07,Casual,All-weather,2019,5
2019-07-31,7,3,3,3,0,30.0,1.0,0,0,0,0.5,DragonWear MA-07,Casual,All-weather,2019,7
2019-09-30,7,3,1,1,0,90.0,1.0,0,0,0,0.25,DragonWear MA-07,Casual,All-weather,2019,9
2019-11-30,7,3,1,1,0,90.0,1.0,0,0,0,0.25,DragonWear MA-07,Casual,All-weather,2019,11
2020-01-31,7,3,1,1,2,90.0,0.9333,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2020,1
2020-02-29,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2020,2
2020-03-31,7,3,2,2,0,45.0,1.0,0,0,0,0.4,DragonWear MA-07,Casual,All-weather,2020,3
2020-04-30,7,3,3,3,1,30.0,0.9667,1,0,0,0.5,DragonWear MA-07,Casual,All-weather,2020,4
2020-07-31,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2020,7
2020-09-30,7,3,3,3,2,30.0,0.9333,1,0,0,0.5,DragonWear MA-07,Casual,All-weather,2020,9
2020-10-31,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2020,10
2020-11-30,7,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2020,11
2021-01-31,7,3,2,2,0,45.0,1.0,0,0,0,0.4,DragonWear MA-07,Casual,All-weather,2021,1
2021-02-28,7,3,2,2,0,45.0,1.0,0,0,0,0.4,DragonWear MA-07,Casual,All-weather,2021,2
2021-09-30,7,3,2,2,2,45.0,0.9333,1,0,0,0.4,DragonWear MA-07,Casual,All-weather,2021,9
2021-10-31,7,3,1,1,2,90.0,0.9333,1,0,0,0.25,DragonWear MA-07,Casual,All-weather,2021,10
2014-05-31,8,19,7,6,1,95.0,0.9667,1,1,0,0.24,DragonWear MA-08,Casual,All-weather,2014,5
2014-06-30,8,19,7,7,1,81.4,0.9667,1,0,0,0.2692,DragonWear MA-08,Casual,All-weather,2014,6
2014-07-31,8,21,10,8,2,78.8,0.9333,1,0,0,0.2759,DragonWear MA-08,Casual,All-weather,2014,7
2014-08-31,8,22,7,6,1,110.0,0.9667,1,1,0,0.2143,DragonWear MA-08,Casual,All-weather,2014,8
2014-09-30,8,22,8,8,2,82.5,0.9333,1,0,0,0.2667,DragonWear MA-08,Casual,All-weather,2014,9
2014-10-31,8,22,7,7,0,94.3,1.0,0,1,0,0.2414,DragonWear MA-08,Casual,All-weather,2014,10
2014-11-30,8,23,5,4,0,172.5,1.0,0,1,0,0.1481,DragonWear MA-08,Casual,All-weather,2014,11
2014-12-31,8,24,7,6,2,120.0,0.9333,1,1,0,0.2,DragonWear MA-08,Casual,All-weather,2014,12
2015-01-31,8,24,2,2,0,360.0,1.0,0,1,0,0.0769,DragonWear MA-08,Casual,All-weather,2015,1
2015-02-28,8,24,4,4,1,180.0,0.9667,1,1,0,0.1429,DragonWear MA-08,Casual,All-weather,2015,2
2015-03-31,8,24,3,3,1,240.0,0.9667,1,1,0,0.1111,DragonWear MA-08,Casual,All-weather,2015,3
2015-04-30,8,26,11,9,1,86.7,0.9667,1,0,0,0.2571,DragonWear MA-08,Casual,All-weather,2015,4
2015-05-31,8,28,10,8,2,105.0,0.9333,1,1,0,0.2222,DragonWear MA-08,Casual,All-weather,2015,5
2015-06-30,8,29,6,5,2,174.0,0.9333,1,1,0,0.1471,DragonWear MA-08,Casual,All-weather,2015,6
2015-07-31,8,29,2,2,1,435.0,0.9667,1,1,0,0.0645,DragonWear MA-08,Casual,All-weather,2015,7
2015-08-31,8,29,3,3,1,290.0,0.9667,1,1,0,0.0938,DragonWear MA-08,Casual,All-weather,2015,8
2015-09-30,8,29,3,3,1,290.0,0.9667,1,1,0,0.0938,DragonWear MA-08,Casual,All-weather,2015,9
2015-10-31,8,29,1,1,2,870.0,0.9333,1,1,0,0.0333,DragonWear MA-08,Casual,All-weather,2015,10
2015-11-30,8,30,8,7,1,128.6,0.9667,1,1,0,0.1892,DragonWear MA-08,Casual,All-weather,2015,11
2015-12-31,8,30,7,7,2,128.6,0.9333,1,1,0,0.1892,DragonWear MA-08,Casual,All-weather,2015,12
2016-01-31,8,30,3,3,1,300.0,0.9667,1,1,0,0.0909,DragonWear MA-08,Casual,All-weather,2016,1
2016-02-29,8,30,4,4,0,225.0,1.0,0,1,0,0.1176,DragonWear MA-08,Casual,All-weather,2016,2
2016-03-31,8,33,19,16,1,61.9,0.9667,1,0,0,0.3265,DragonWear MA-08,Casual,All-weather,2016,3
2016-04-30,8,40,33,26,0,46.2,1.0,0,0,0,0.3939,DragonWear MA-08,Casual,All-weather,2016,4
2016-05-31,8,42,16,14,0,90.0,1.0,0,0,0,0.25,DragonWear MA-08,Casual,All-weather,2016,5
2016-06-30,8,45,22,19,2,71.1,0.9333,1,0,0,0.2969,DragonWear MA-08,Casual,All-weather,2016,6
2016-07-31,8,47,22,20,2,70.5,0.9333,1,0,0,0.2985,DragonWear MA-08,Casual,All-weather,2016,7
2016-08-31,8,48,9,8,0,180.0,1.0,0,1,0,0.1429,DragonWear MA-08,Casual,All-weather,2016,8
2016-09-30,8,49,9,8,0,183.8,1.0,0,1,0,0.1404,DragonWear MA-08,Casual,All-weather,2016,9
2016-10-31,8,50,9,8,0,187.5,1.0,0,1,0,0.1379,DragonWear MA-08,Casual,All-weather,2016,10
2016-11-30,8,51,10,9,1,170.0,0.9667,1,1,0,0.15,DragonWear MA-08,Casual,All-weather,2016,11
2016-12-31,8,52,7,6,2,260.0,0.9333,1,1,0,0.1034,DragonWear MA-08,Casual,All-weather,2016,12
2017-01-31,8,52,6,6,0,260.0,1.0,0,1,0,0.1034,DragonWear MA-08,Casual,All-weather,2017,1
2017-02-28,8,52,4,4,1,390.0,0.9667,1,1,0,0.0714,DragonWear MA-08,Casual,All-weather,2017,2
2017-03-31,8,52,8,8,2,195.0,0.9333,1,1,0,0.1333,DragonWear MA-08,Casual,All-weather,2017,3
2017-04-30,8,57,26,21,2,81.4,0.9333,1,0,0,0.2692,DragonWear MA-08,Casual,All-weather,2017,4
2017-05-31,8,63,31,25,2,75.6,0.9333,1,0,0,0.2841,DragonWear MA-08,Casual,All-weather,2017,5
2017-06-30,8,68,29,24,1,85.0,0.9667,1,0,0,0.2609,DragonWear MA-08,Casual,All-weather,2017,6
2017-07-31,8,68,3,3,0,680.0,1.0,0,1,0,0.0423,DragonWear MA-08,Casual,All-weather,2017,7
2017-08-31,8,69,7,6,0,345.0,1.0,0,1,0,0.08,DragonWear MA-08,Casual,All-weather,2017,8
2017-09-30,8,69,2,2,2,1035.0,0.9333,1,1,0,0.0282,DragonWear MA-08,Casual,All-weather,2017,9
2017-10-31,8,70,9,8,0,262.5,1.0,0,1,0,0.1026,DragonWear MA-08,Casual,All-weather,2017,10
2017-11-30,8,70,5,5,0,420.0,1.0,0,1,0,0.0667,DragonWear MA-08,Casual,All-weather,2017,11
2017-12-31,8,70,5,5,1,420.0,0.9667,1,1,0,0.0667,DragonWear MA-08,Casual,All-weather,2017,12
2018-01-31,8,70,2,2,0,1050.0,1.0,0,1,0,0.0278,DragonWear MA-08,Casual,All-weather,2018,1
2018-04-30,8,70,1,1,0,2100.0,1.0,0,1,0,0.0141,DragonWear MA-08,Casual,All-weather,2018,4
2018-05-31,8,70,1,1,1,2100.0,0.9667,1,1,0,0.0141,DragonWear MA-08,Casual,All-weather,2018,5
2018-07-31,8,70,1,1,2,2100.0,0.9333,1,1,0,0.0141,DragonWear MA-08,Casual,All-weather,2018,7
2018-08-31,8,70,7,7,0,300.0,1.0,0,1,0,0.0909,DragonWear MA-08,Casual,All-weather,2018,8
2018-09-30,8,73,19,16,2,136.9,0.9333,1,1,0,0.1798,DragonWear MA-08,Casual,All-weather,2018,9
2018-10-31,8,74,11,10,2,222.0,0.9333,1,1,0,0.119,DragonWear MA-08,Casual,All-weather,2018,10
2018-11-30,8,74,7,7,2,317.1,0.9333,1,1,0,0.0864,DragonWear MA-08,Casual,All-weather,2018,11
2018-12-31,8,74,5,5,2,444.0,0.9333,1,1,0,0.0633,DragonWear MA-08,Casual,All-weather,2018,12
2019-01-31,8,74,4,4,0,555.0,1.0,0,1,0,0.0513,DragonWear MA-08,Casual,All-weather,2019,1
2019-02-28,8,74,4,4,1,555.0,0.9667,1,1,0,0.0513,DragonWear MA-08,Casual,All-weather,2019,2
2019-03-31,8,75,7,6,2,375.0,0.9333,1,1,0,0.0741,DragonWear MA-08,Casual,All-weather,2019,3
2019-04-30,8,78,14,11,1,212.7,0.9667,1,1,0,0.1236,DragonWear MA-08,Casual,All-weather,2019,4
2019-05-31,8,79,11,10,2,237.0,0.9333,1,1,0,0.1124,DragonWear MA-08,Casual,All-weather,2019,5
2019-06-30,8,80,12,11,0,218.2,1.0,0,1,0,0.1209,DragonWear MA-08,Casual,All-weather,2019,6
2019-07-31,8,81,10,9,0,270.0,1.0,0,1,0,0.1,DragonWear MA-08,Casual,All-weather,2019,7
2019-08-31,8,82,6,5,0,492.0,1.0,0,1,0,0.0575,DragonWear MA-08,Casual,All-weather,2019,8
2019-09-30,8,84,13,11,2,229.1,0.9333,1,1,0,0.1158,DragonWear MA-08,Casual,All-weather,2019,9
2019-10-31,8,85,9,8,1,318.8,0.9667,1,1,0,0.086,DragonWear MA-08,Casual,All-weather,2019,10
2019-11-30,8,85,3,3,1,850.0,0.9667,1,1,0,0.0341,DragonWear MA-08,Casual,All-weather,2019,11
2019-12-31,8,85,1,1,0,2550.0,1.0,0,1,0,0.0116,DragonWear MA-08,Casual,All-weather,2019,12
2020-01-31,8,85,3,3,2,850.0,0.9333,1,1,0,0.0341,DragonWear MA-08,Casual,All-weather,2020,1
2020-02-29,8,85,2,2,0,1275.0,1.0,0,1,0,0.023,DragonWear MA-08,Casual,All-weather,2020,2
2020-03-31,8,85,5,5,2,510.0,0.9333,1,1,0,0.0556,DragonWear MA-08,Casual,All-weather,2020,3
2020-04-30,8,86,12,11,1,234.5,0.9667,1,1,0,0.1134,DragonWear MA-08,Casual,All-weather,2020,4
2020-05-31,8,87,13,12,2,217.5,0.9333,1,1,0,0.1212,DragonWear MA-08,Casual,All-weather,2020,5
2020-06-30,8,88,7,6,1,440.0,0.9667,1,1,0,0.0638,DragonWear MA-08,Casual,All-weather,2020,6
2020-07-31,8,88,5,5,2,528.0,0.9333,1,1,0,0.0538,DragonWear MA-08,Casual,All-weather,2020,7
2020-08-31,8,90,10,8,2,337.5,0.9333,1,1,0,0.0816,DragonWear MA-08,Casual,All-weather,2020,8
2020-09-30,8,90,4,4,1,675.0,0.9667,1,1,0,0.0426,DragonWear MA-08,Casual,All-weather,2020,9
2020-10-31,8,90,5,5,0,540.0,1.0,0,1,0,0.0526,DragonWear MA-08,Casual,All-weather,2020,10
2020-11-30,8,90,2,2,0,1350.0,1.0,0,1,0,0.0217,DragonWear MA-08,Casual,All-weather,2020,11
2020-12-31,8,90,2,2,0,1350.0,1.0,0,1,0,0.0217,DragonWear MA-08,Casual,All-weather,2020,12
2021-01-31,8,90,3,3,2,900.0,0.9333,1,1,0,0.0323,DragonWear MA-08,Casual,All-weather,2021,1
2021-02-28,8,91,6,5,0,546.0,1.0,0,1,0,0.0521,DragonWear MA-08,Casual,All-weather,2021,2
2021-03-31,8,92,6,5,2,552.0,0.9333,1,1,0,0.0515,DragonWear MA-08,Casual,All-weather,2021,3
2021-04-30,8,93,10,9,0,310.0,1.0,0,1,0,0.0882,DragonWear MA-08,Casual,All-weather,2021,4
2021-05-31,8,95,9,7,2,407.1,0.9333,1,1,0,0.0686,DragonWear MA-08,Casual,All-weather,2021,5
2021-06-30,8,95,2,2,0,1425.0,1.0,0,1,0,0.0206,DragonWear MA-08,Casual,All-weather,2021,6
