date,sessions,unique_visitors,page_views,bounce_rate,avg_session_duration_sec,traffic_source
2013-05-08,28654,20921,130897,0.00408,302.5,organic_search
2013-05-09,26771,19690,142781,0.00509,182.8,paid_search
2013-05-10,26830,19447,124787,0.00391,153.5,organic_search
2013-05-11,28668,21307,137833,0.00495,215.2,paid_search
2013-05-12,27438,22374,128020,0.00428,301.0,social_media
2013-05-13,26357,19629,90559,0.00574,131.4,paid_search
2013-05-14,26056,20140,115695,0.00322,116.0,social_media
2013-05-15,29084,22687,146585,0.00436,188.5,direct
2013-05-16,26638,19759,113183,0.00522,314.0,referral
2013-05-17,24122,18498,132379,0.00353,308.1,organic_search
2013-05-18,23202,17262,103657,0.00445,270.5,email_campaign
2013-05-19,25148,20307,89419,0.00518,105.8,social_media
2013-05-20,23328,18639,95417,0.00444,116.7,organic_search
2013-05-21,28407,22048,108703,0.00491,277.6,referral
2013-05-22,25706,19005,88509,0.00537,198.2,social_media
2013-05-23,22398,17580,109248,0.00403,121.3,email_campaign
2013-05-24,25714,20338,120745,0.00445,116.7,social_media
2013-05-25,26078,21237,92476,0.00385,141.3,paid_search
2013-05-26,29842,21470,103585,0.00491,317.6,organic_search
2013-05-27,25522,20808,123734,0.005,267.2,social_media
2013-05-28,25369,18149,102736,0.00391,253.4,paid_search
2013-05-29,23853,18613,85854,0.00337,120.5,referral
2013-05-30,27287,20624,123833,0.00446,173.2,organic_search
2013-05-31,26902,19521,103623,0.00321,257.9,social_media
2013-06-01,25458,18115,131842,0.00372,186.4,organic_search
2013-06-02,23735,17119,76080,0.00346,260.9,organic_search
2013-06-03,25536,19209,97821,0.00537,174.4,direct
2013-06-04,27334,19831,110854,0.00401,310.6,organic_search
2013-06-05,28445,21988,137505,0.0039,209.5,social_media
2013-06-06,26397,18897,125873,0.00512,154.8,social_media
2013-06-07,26823,18932,134357,0.00399,224.4,email_campaign
2013-06-08,27553,21069,147243,0.00562,207.9,paid_search
2013-06-09,24891,19205,125165,0.00507,280.4,social_media
2013-06-10,28861,23567,100856,0.00478,231.8,organic_search
2013-06-11,23368,17790,126304,0.00561,172.9,organic_search
2013-06-12,25933,21079,127206,0.00527,116.5,paid_search
2013-06-13,27752,19777,151236,0.00347,106.4,organic_search
2013-06-14,27755,21197,126500,0.00556,219.8,email_campaign
2013-06-15,26928,21083,98828,0.00495,269.9,organic_search
2013-06-16,26115,18984,119810,0.00417,313.2,paid_search
2013-06-17,28092,21312,92163,0.00378,152.1,organic_search
2013-06-18,25085,19903,133701,0.00478,191.8,social_media
2013-06-19,28632,23372,112269,0.00514,130.0,social_media
2013-06-20,25557,20425,116849,0.00534,122.0,paid_search
2013-06-21,29053,21451,103139,0.00566,139.1,email_campaign
2013-06-22,26367,21250,113536,0.00407,255.4,paid_search
2013-06-23,27355,21580,146783,0.00397,253.1,organic_search
2013-06-24,26497,21120,97404,0.00364,178.5,paid_search
2013-06-25,29694,21606,125033,0.00538,177.8,paid_search
2013-06-26,27207,20220,127226,0.00399,190.0,direct
2013-06-27,26545,20261,100022,0.00427,186.3,paid_search
2013-06-28,23891,17776,91798,0.00447,121.5,social_media
2013-06-29,28947,21255,158795,0.00327,305.7,organic_search
2013-06-30,26808,20585,139193,0.0058,210.3,organic_search
2013-07-01,20717,14990,103616,0.00537,166.5,referral
2013-07-02,22158,16944,96216,0.00543,318.6,paid_search
2013-07-03,20624,16244,90498,0.00532,317.6,direct
2013-07-04,20224,15518,96547,0.00434,133.9,paid_search
2013-07-05,22308,16026,110365,0.00435,162.3,paid_search
2013-07-06,19852,14493,104084,0.00367,171.3,paid_search
2013-07-07,19573,15181,74366,0.00554,219.4,paid_search
2013-07-08,18865,14238,78747,0.00327,160.0,organic_search
2013-07-09,22779,18244,96006,0.00444,299.1,organic_search
2013-07-10,22911,17844,91089,0.00504,214.5,organic_search
2013-07-11,22159,15665,121194,0.00486,156.7,email_campaign
2013-07-12,21395,17049,79697,0.0046,106.4,referral
2013-07-13,20990,16293,82169,0.00342,184.3,social_media
2013-07-14,19989,14732,82309,0.00387,208.7,paid_search
2013-07-15,18587,13497,84767,0.00407,199.4,social_media
2013-07-16,19711,16037,88626,0.00484,256.8,referral
2013-07-17,19882,14587,66793,0.00416,180.4,organic_search
2013-07-18,19517,13750,66929,0.00401,219.2,organic_search
2013-07-19,21059,16557,96682,0.00435,183.6,social_media
2013-07-20,21432,15474,75600,0.00475,172.1,social_media
2013-07-21,22930,16061,97731,0.00555,187.7,organic_search
2013-07-22,19228,13486,71073,0.00429,107.5,organic_search
2013-07-23,20992,16978,97061,0.00414,201.3,social_media
2013-07-24,23873,18037,83203,0.00565,202.2,email_campaign
2013-07-25,24318,18975,100129,0.00497,186.2,direct
2013-07-26,20769,14594,72595,0.00562,249.5,direct
2013-07-27,18198,12889,70117,0.00462,279.9,social_media
2013-07-28,25026,18160,120386,0.00397,136.1,paid_search
2013-07-29,20760,15605,109067,0.0045,211.4,email_campaign
2013-07-30,22570,17674,74423,0.00426,112.1,organic_search
2013-07-31,21645,16539,81092,0.00565,219.7,organic_search
2013-08-01,23532,17995,95876,0.004,186.4,paid_search
2013-08-02,22089,17760,76290,0.00367,144.5,organic_search
2013-08-03,19760,15958,85952,0.0044,205.7,referral
2013-08-04,22135,16046,73001,0.00542,158.4,social_media
2013-08-05,25518,20607,95149,0.00565,188.0,paid_search
2013-08-06,21270,15427,110319,0.00402,315.4,organic_search
2013-08-07,21729,17596,106146,0.00321,193.3,paid_search
2013-08-08,25048,20133,88852,0.00572,312.2,organic_search
2013-08-09,21871,16990,105802,0.00368,317.0,organic_search
2013-08-10,22931,17591,107729,0.00561,223.1,referral
2013-08-11,20544,15209,90834,0.00475,235.5,social_media
2013-08-12,24576,17742,103910,0.00536,219.8,direct
2013-08-13,19843,14706,70310,0.00566,283.4,organic_search
2013-08-14,23377,16422,106286,0.00503,244.7,social_media
2013-08-15,24562,17671,104078,0.00479,110.5,social_media
2013-08-16,21594,15178,70937,0.0042,127.9,paid_search
2013-08-17,25258,19092,110262,0.0049,127.6,organic_search
2013-08-18,24646,19117,120067,0.00336,285.5,social_media
2013-08-19,23836,16878,127242,0.00558,162.3,direct
2013-08-20,23145,16573,76874,0.00421,177.2,email_campaign
2013-08-21,22174,17667,88785,0.00393,127.8,organic_search
2013-08-22,20674,16052,88395,0.00368,108.9,paid_search
2013-08-23,21969,16007,73448,0.00484,146.4,direct
2013-08-24,22020,16468,117994,0.0054,253.3,organic_search
2013-08-25,23027,18302,124556,0.00326,316.9,social_media
2013-08-26,23617,17269,78791,0.00429,183.7,paid_search
2013-08-27,23901,18422,99962,0.00322,233.3,email_campaign
2013-08-28,21366,17094,107444,0.00472,134.2,referral
2013-08-29,23147,16818,83676,0.00408,183.8,organic_search
2013-08-30,26500,20681,114458,0.00412,231.9,organic_search
2013-08-31,23963,18130,80783,0.00437,274.4,social_media
2013-09-01,17091,12233,74574,0.00518,106.8,referral
2013-09-02,15376,12350,50005,0.00401,157.3,organic_search
2013-09-03,15581,10983,59990,0.0041,202.7,organic_search
2013-09-04,16020,12505,55806,0.00437,176.3,email_campaign
2013-09-05,16582,13189,57021,0.00488,181.5,paid_search
2013-09-06,16237,13287,87609,0.00406,224.6,paid_search
2013-09-07,15613,12209,55336,0.00413,318.7,referral
2013-09-08,16962,13239,74004,0.00329,119.6,referral
2013-09-09,18127,13415,88280,0.0048,240.7,organic_search
2013-09-10,17160,14066,72179,0.00438,268.7,referral
2013-09-11,16910,11894,65138,0.00501,207.1,organic_search
2013-09-12,15632,11865,60436,0.00503,296.5,paid_search
2013-09-13,17916,12765,59697,0.00367,103.5,organic_search
2013-09-14,16694,12421,90074,0.00564,308.3,social_media
2013-09-15,15207,11403,64405,0.00553,177.3,email_campaign
2013-09-16,16977,12773,84823,0.00353,102.7,organic_search
2013-09-17,19210,15448,69626,0.0057,203.0,direct
2013-09-18,19581,14167,80144,0.00458,158.9,organic_search
2013-09-19,15000,11585,73236,0.00538,238.9,paid_search
2013-09-20,18009,13483,64698,0.00462,111.3,organic_search
2013-09-21,16298,12409,85777,0.00417,271.6,organic_search
2013-09-22,17457,13570,77141,0.00483,315.5,paid_search
2013-09-23,13116,10363,70856,0.00407,179.1,organic_search
2013-09-24,18830,14326,90846,0.00449,140.7,email_campaign
2013-09-25,16433,12462,72743,0.00541,206.6,organic_search
2013-09-26,16255,11501,53823,0.00555,165.9,organic_search
2013-09-27,15631,12772,85398,0.00532,292.3,organic_search
2013-09-28,19359,15652,74052,0.00382,154.5,paid_search
2013-09-29,19815,14640,88791,0.00538,281.9,social_media
2013-09-30,17778,13505,90690,0.00535,226.8,organic_search
2013-10-01,13710,9680,52584,0.00324,209.8,email_campaign
2013-10-02,12941,9851,71024,0.00539,205.0,organic_search
2013-10-03,13080,9748,44993,0.00499,125.5,organic_search
2013-10-04,15477,12022,78604,0.00375,156.7,social_media
2013-10-05,13994,10098,68009,0.00564,314.4,referral
2013-10-06,14105,11490,70993,0.00435,122.9,paid_search
2013-10-07,12570,9552,45109,0.00325,181.8,organic_search
2013-10-08,13093,10025,58429,0.00339,138.1,direct
2013-10-09,12218,9764,50149,0.00469,209.6,organic_search
2013-10-10,13055,10029,43148,0.00534,176.8,organic_search
2013-10-11,13725,9778,64212,0.00375,220.2,organic_search
2013-10-12,13023,10257,64771,0.0055,256.2,organic_search
2013-10-13,13045,9157,51450,0.00425,160.5,organic_search
2013-10-14,14459,11334,50446,0.00413,231.0,organic_search
2013-10-15,13895,11304,65905,0.00361,224.3,organic_search
2013-10-16,12929,9667,64283,0.00423,261.5,paid_search
2013-10-17,12216,9304,57228,0.00462,144.0,direct
2013-10-18,12323,9163,60959,0.00406,231.9,referral
2013-10-19,11963,9407,54624,0.00537,276.6,social_media
2013-10-20,14009,10602,54466,0.00482,314.7,email_campaign
2013-10-21,12745,9506,53990,0.00578,274.1,organic_search
2013-10-22,14589,10511,47642,0.00338,207.1,direct
2013-10-23,13717,10722,60164,0.0035,121.5,social_media
2013-10-24,12783,9260,50277,0.00481,108.1,organic_search
2013-10-25,12510,9642,46132,0.00342,284.2,social_media
2013-10-26,12422,8842,45914,0.00452,197.1,organic_search
2013-10-27,13304,10333,64827,0.00326,308.3,social_media
