order_id,ship_date,delivery_date,shipping_fee
164,2012-07-07,2012-07-11,1.42
165,2012-07-04,2012-07-06,2.61
168,2012-07-04,2012-07-06,1.57
169,2012-07-05,2012-07-07,1.04
170,2012-07-06,2012-07-11,1.01
172,2012-07-08,2012-07-15,0.97
173,2012-07-05,2012-07-11,26.78
175,2012-07-04,2012-07-11,30.45
176,2012-07-07,2012-07-11,0.18
177,2012-07-07,2012-07-09,1.24
178,2012-07-06,2012-07-11,1.05
179,2012-07-07,2012-07-14,0.69
180,2012-07-06,2012-07-08,1.39
182,2012-07-06,2012-07-09,1.06
183,2012-07-06,2012-07-12,0.13
185,2012-07-07,2012-07-12,0.04
186,2012-07-04,2012-07-09,2.66
187,2012-07-07,2012-07-13,0.06
188,2012-07-08,2012-07-14,0.46
189,2012-07-07,2012-07-09,1.94
190,2012-07-06,2012-07-13,2.04
191,2012-07-08,2012-07-11,0.87
192,2012-07-06,2012-07-09,1.78
193,2012-07-04,2012-07-08,27.29
194,2012-07-07,2012-07-14,2.63
196,2012-07-07,2012-07-10,2.66
197,2012-07-07,2012-07-13,27.63
198,2012-07-08,2012-07-10,0.02
199,2012-07-05,2012-07-12,1.5
204,2012-07-07,2012-07-12,1.12
205,2012-07-04,2012-07-08,0.69
206,2012-07-04,2012-07-07,0.9
208,2012-07-06,2012-07-10,0.78
210,2012-07-08,2012-07-13,0.06
211,2012-07-09,2012-07-15,0.45
212,2012-07-09,2012-07-12,1.35
214,2012-07-05,2012-07-08,0.46
217,2012-07-09,2012-07-11,0.58
218,2012-07-06,2012-07-10,2.32
219,2012-07-06,2012-07-08,2.17
220,2012-07-08,2012-07-10,0.4
223,2012-07-05,2012-07-11,1.48
224,2012-07-09,2012-07-15,2.17
226,2012-07-04,2012-07-09,2.88
227,2012-07-07,2012-07-12,1.59
228,2012-07-08,2012-07-15,0.04
229,2012-07-07,2012-07-09,2.9
231,2012-07-04,2012-07-06,1.77
233,2012-07-09,2012-07-12,1.33
234,2012-07-07,2012-07-12,0.85
236,2012-07-06,2012-07-12,1.93
237,2012-07-10,2012-07-17,2.42
238,2012-07-04,2012-07-10,1.68
239,2012-07-04,2012-07-07,1.04
241,2012-07-04,2012-07-08,2.53
242,2012-07-07,2012-07-09,26.86
244,2012-07-07,2012-07-09,2.12
245,2012-07-06,2012-07-08,0.93
246,2012-07-07,2012-07-10,0.46
250,2012-07-06,2012-07-08,0.1
251,2012-07-08,2012-07-11,2.03
254,2012-07-06,2012-07-13,1.46
257,2012-07-05,2012-07-11,1.66
259,2012-07-06,2012-07-11,0.4
260,2012-07-07,2012-07-11,2.07
261,2012-07-08,2012-07-13,0.68
263,2012-07-04,2012-07-08,2.24
264,2012-07-09,2012-07-16,2.83
265,2012-07-04,2012-07-11,2.28
266,2012-07-07,2012-07-13,2.68
268,2012-07-07,2012-07-09,1.61
269,2012-07-05,2012-07-07,0.89
271,2012-07-06,2012-07-12,0.07
274,2012-07-07,2012-07-14,0.5
275,2012-07-08,2012-07-15,1.78
278,2012-07-10,2012-07-13,2.72
280,2012-07-06,2012-07-12,1.57
281,2012-07-07,2012-07-13,2.87
282,2012-07-06,2012-07-13,0.5
284,2012-07-06,2012-07-09,1.31
285,2012-07-06,2012-07-09,0.86
286,2012-07-08,2012-07-10,0.02
287,2012-07-08,2012-07-14,0.17
290,2012-07-06,2012-07-08,2.18
291,2012-07-05,2012-07-10,1.52
292,2012-07-07,2012-07-12,2.82
295,2012-07-07,2012-07-14,2.71
296,2012-07-07,2012-07-10,1.49
297,2012-07-08,2012-07-15,2.17
298,2012-07-04,2012-07-11,1.9
299,2012-07-04,2012-07-07,0.77
300,2012-07-07,2012-07-14,2.06
301,2012-07-06,2012-07-12,2.23
302,2012-07-06,2012-07-12,0.11
303,2012-07-05,2012-07-09,27.34
305,2012-07-08,2012-07-13,25.37
306,2012-07-07,2012-07-10,1.55
307,2012-07-09,2012-07-13,2.26
308,2012-07-05,2012-07-07,1.42
309,2012-07-10,2012-07-15,2.78
311,2012-07-08,2012-07-10,0.92
315,2012-07-05,2012-07-11,1.06
316,2012-07-06,2012-07-12,2.63
317,2012-07-06,2012-07-11,2.24
318,2012-07-06,2012-07-12,2.81
322,2012-07-07,2012-07-11,1.86
323,2012-07-08,2012-07-14,2.23
324,2012-07-04,2012-07-06,2.23
326,2012-07-07,2012-07-13,2.34
328,2012-07-05,2012-07-11,1.42
330,2012-07-05,2012-07-08,2.88
331,2012-07-06,2012-07-08,2.4
333,2012-07-08,2012-07-14,2.93
335,2012-07-09,2012-07-11,1.03
336,2012-07-07,2012-07-10,1.25
337,2012-07-10,2012-07-16,0.02
338,2012-07-05,2012-07-08,2.39
339,2012-07-04,2012-07-10,0.22
340,2012-07-08,2012-07-10,26.08
341,2012-07-09,2012-07-11,25.7
342,2012-07-10,2012-07-15,1.73
344,2012-07-07,2012-07-10,0.78
346,2012-07-08,2012-07-11,0.25
348,2012-07-07,2012-07-11,1.06
351,2012-07-05,2012-07-12,2.93
357,2012-07-06,2012-07-11,0.04
359,2012-07-05,2012-07-11,2.79
365,2012-07-07,2012-07-11,30.7
366,2012-07-09,2012-07-12,0.09
367,2012-07-07,2012-07-12,0.07
369,2012-07-09,2012-07-14,1.29
370,2012-07-10,2012-07-13,1.82
371,2012-07-06,2012-07-08,2.31
372,2012-07-08,2012-07-14,24.45
373,2012-07-07,2012-07-13,2.26
376,2012-07-08,2012-07-13,29.64
377,2012-07-09,2012-07-11,0.09
378,2012-07-04,2012-07-08,1.22
380,2012-07-06,2012-07-10,0.27
381,2012-07-07,2012-07-14,0.28
383,2012-07-05,2012-07-11,2.14
385,2012-07-05,2012-07-09,0.9
386,2012-07-07,2012-07-12,0.39
391,2012-07-07,2012-07-14,2.25
394,2012-07-06,2012-07-11,1.71
396,2012-07-09,2012-07-15,1.98
397,2012-07-05,2012-07-09,2.12
400,2012-07-07,2012-07-14,0.62
401,2012-07-05,2012-07-08,2.24
402,2012-07-06,2012-07-12,2.63
403,2012-07-09,2012-07-11,24.33
405,2012-07-04,2012-07-11,1.85
406,2012-07-10,2012-07-15,2.01
409,2012-07-10,2012-07-12,0.73
410,2012-07-07,2012-07-09,0.55
411,2012-07-11,2012-07-15,2.21
412,2012-07-10,2012-07-16,0.43
413,2012-07-08,2012-07-13,2.18
414,2012-07-10,2012-07-15,2.72
415,2012-07-07,2012-07-09,2.14
416,2012-07-09,2012-07-16,0.28
417,2012-07-11,2012-07-15,0.71
418,2012-07-06,2012-07-09,1.31
419,2012-07-08,2012-07-12,30.6
420,2012-07-11,2012-07-18,0.18
421,2012-07-05,2012-07-12,1.55
423,2012-07-09,2012-07-11,1.23
425,2012-07-08,2012-07-15,0.62
427,2012-07-05,2012-07-10,1.38
428,2012-07-10,2012-07-16,0.36
429,2012-07-07,2012-07-14,0.3
430,2012-07-07,2012-07-09,1.38
432,2012-07-06,2012-07-12,1.9
433,2012-07-08,2012-07-10,1.13
434,2012-07-06,2012-07-10,2.28
435,2012-07-07,2012-07-13,0.58
436,2012-07-08,2012-07-15,2.96
438,2012-07-09,2012-07-11,0.1
439,2012-07-08,2012-07-14,0.71
440,2012-07-08,2012-07-12,2.46
442,2012-07-09,2012-07-16,2.37
443,2012-07-08,2012-07-11,1.45
444,2012-07-06,2012-07-13,2.78
445,2012-07-08,2012-07-10,0.84
446,2012-07-07,2012-07-09,2.8
448,2012-07-10,2012-07-13,0.19
449,2012-07-10,2012-07-15,0.99
452,2012-07-10,2012-07-12,2.38
453,2012-07-09,2012-07-15,0.26
457,2012-07-10,2012-07-15,2.2
459,2012-07-08,2012-07-11,0.21
461,2012-07-10,2012-07-13,0.63
463,2012-07-10,2012-07-15,1.75
466,2012-07-07,2012-07-10,2.1
469,2012-07-06,2012-07-10,2.89
470,2012-07-10,2012-07-16,0.51
471,2012-07-09,2012-07-13,1.45
472,2012-07-06,2012-07-11,0.49
473,2012-07-10,2012-07-12,1.75
474,2012-07-08,2012-07-15,2.9
475,2012-07-10,2012-07-12,2.97
476,2012-07-08,2012-07-10,1.96
477,2012-07-06,2012-07-10,31.77
478,2012-07-08,2012-07-14,28.11
479,2012-07-11,2012-07-13,1.21
484,2012-07-09,2012-07-15,2.28
485,2012-07-08,2012-07-12,2.28
486,2012-07-06,2012-07-09,0.22
487,2012-07-08,2012-07-11,0.19
490,2012-07-10,2012-07-12,2.9
491,2012-07-06,2012-07-09,1.31
492,2012-07-07,2012-07-13,0.79
495,2012-07-06,2012-07-09,0.22
496,2012-07-06,2012-07-09,0.06
497,2012-07-07,2012-07-11,1.67
499,2012-07-05,2012-07-07,27.27
503,2012-07-06,2012-07-13,0.55
505,2012-07-11,2012-07-14,2.36
508,2012-07-06,2012-07-10,1.38
509,2012-07-07,2012-07-10,1.27
511,2012-07-08,2012-07-14,1.82
513,2012-07-11,2012-07-15,0.33
514,2012-07-08,2012-07-11,0.69
515,2012-07-05,2012-07-10,1.68
516,2012-07-11,2012-07-13,27.85
517,2012-07-05,2012-07-07,0.12
518,2012-07-09,2012-07-11,1.6
520,2012-07-05,2012-07-07,0.09
523,2012-07-06,2012-07-10,0.38
525,2012-07-11,2012-07-13,1.76
527,2012-07-09,2012-07-15,2.48
528,2012-07-09,2012-07-12,1.64
530,2012-07-06,2012-07-13,2.77
531,2012-07-09,2012-07-12,2.14
532,2012-07-08,2012-07-11,23.18
533,2012-07-06,2012-07-13,1.89
534,2012-07-09,2012-07-13,29.02
535,2012-07-07,2012-07-14,26.55
536,2012-07-07,2012-07-12,2.85
539,2012-07-06,2012-07-10,2.35
540,2012-07-07,2012-07-14,2.4
543,2012-07-10,2012-07-17,1.11
544,2012-07-08,2012-07-11,0.32
545,2012-07-06,2012-07-11,0.54
546,2012-07-06,2012-07-12,0.13
547,2012-07-10,2012-07-13,1.08
548,2012-07-06,2012-07-12,2.75
550,2012-07-09,2012-07-11,1.42
551,2012-07-11,2012-07-14,0.74
552,2012-07-05,2012-07-08,1.17
554,2012-07-10,2012-07-13,1.91
556,2012-07-07,2012-07-14,1.72
557,2012-07-06,2012-07-11,28.23
558,2012-07-08,2012-07-10,2.27
559,2012-07-07,2012-07-11,2.77
560,2012-07-08,2012-07-14,0.39
562,2012-07-10,2012-07-12,2.77
563,2012-07-10,2012-07-15,1.51
564,2012-07-08,2012-07-14,0.28
565,2012-07-10,2012-07-13,2.78
566,2012-07-08,2012-07-10,0.64
567,2012-07-09,2012-07-15,0.64
568,2012-07-09,2012-07-15,0.63
569,2012-07-09,2012-07-16,1.28
570,2012-07-11,2012-07-15,2.19
573,2012-07-09,2012-07-13,1.18
574,2012-07-12,2012-07-18,2.8
577,2012-07-10,2012-07-13,2.77
581,2012-07-09,2012-07-15,28.72
582,2012-07-09,2012-07-16,0.72
583,2012-07-06,2012-07-13,1.22
584,2012-07-10,2012-07-15,0.12
586,2012-07-10,2012-07-14,2.52
587,2012-07-07,2012-07-13,1.86
588,2012-07-09,2012-07-13,2.45
589,2012-07-10,2012-07-13,0.81
590,2012-07-10,2012-07-14,0.59
591,2012-07-08,2012-07-13,0.38
592,2012-07-07,2012-07-09,2.92
593,2012-07-10,2012-07-12,2.0
594,2012-07-07,2012-07-09,2.58
596,2012-07-07,2012-07-09,1.61
597,2012-07-08,2012-07-14,0.39
598,2012-07-11,2012-07-18,2.89
599,2012-07-09,2012-07-13,27.45
602,2012-07-06,2012-07-12,1.41
603,2012-07-09,2012-07-13,0.01
605,2012-07-07,2012-07-11,2.24
609,2012-07-08,2012-07-15,1.09
610,2012-07-07,2012-07-11,0.75
612,2012-07-10,2012-07-13,0.3
613,2012-07-10,2012-07-14,0.73
614,2012-07-10,2012-07-16,1.03
615,2012-07-07,2012-07-09,0.07
616,2012-07-10,2012-07-16,2.0
618,2012-07-09,2012-07-11,29.13
619,2012-07-13,2012-07-15,0.4
620,2012-07-09,2012-07-13,1.08
621,2012-07-12,2012-07-14,0.67
624,2012-07-09,2012-07-16,2.82
625,2012-07-07,2012-07-10,2.07
628,2012-07-11,2012-07-15,29.65
631,2012-07-10,2012-07-12,2.95
634,2012-07-08,2012-07-13,2.06
635,2012-07-11,2012-07-16,0.59
636,2012-07-07,2012-07-12,1.8
637,2012-07-09,2012-07-11,0.61
638,2012-07-10,2012-07-13,31.2
639,2012-07-08,2012-07-15,2.35
641,2012-07-09,2012-07-15,0.37
642,2012-07-09,2012-07-12,0.58
643,2012-07-13,2012-07-15,1.98
644,2012-07-12,2012-07-15,0.8
646,2012-07-10,2012-07-13,2.66
649,2012-07-09,2012-07-14,2.85
650,2012-07-10,2012-07-17,1.15
654,2012-07-10,2012-07-13,0.88
656,2012-07-12,2012-07-15,2.08
658,2012-07-10,2012-07-12,0.01
659,2012-07-09,2012-07-12,1.26
662,2012-07-07,2012-07-13,30.97
663,2012-07-10,2012-07-13,25.79
664,2012-07-11,2012-07-17,2.42
665,2012-07-11,2012-07-13,0.2
667,2012-07-13,2012-07-20,2.52
669,2012-07-08,2012-07-11,1.8
670,2012-07-11,2012-07-18,0.73
672,2012-07-11,2012-07-15,2.18
673,2012-07-07,2012-07-10,1.34
674,2012-07-10,2012-07-14,1.2
675,2012-07-08,2012-07-15,2.04
676,2012-07-10,2012-07-17,0.88
678,2012-07-09,2012-07-13,0.96
679,2012-07-08,2012-07-14,0.29
680,2012-07-06,2012-07-11,1.96
681,2012-07-08,2012-07-14,0.86
682,2012-07-06,2012-07-13,27.68
683,2012-07-06,2012-07-09,0.27
684,2012-07-11,2012-07-16,2.92
686,2012-07-09,2012-07-11,2.81
687,2012-07-10,2012-07-14,31.44
688,2012-07-11,2012-07-14,0.17
689,2012-07-08,2012-07-13,0.54
690,2012-07-10,2012-07-16,0.12
692,2012-07-11,2012-07-15,1.48
695,2012-07-08,2012-07-11,22.29
696,2012-07-10,2012-07-15,0.99
697,2012-07-10,2012-07-13,2.76
698,2012-07-09,2012-07-12,0.71
702,2012-07-12,2012-07-18,1.08
703,2012-07-12,2012-07-19,1.65
705,2012-07-10,2012-07-15,1.14
706,2012-07-08,2012-07-15,1.8
707,2012-07-11,2012-07-18,2.48
708,2012-07-12,2012-07-19,0.22
712,2012-07-09,2012-07-11,1.37
713,2012-07-11,2012-07-13,2.71
715,2012-07-10,2012-07-13,1.47
717,2012-07-10,2012-07-12,0.76
718,2012-07-11,2012-07-18,0.13
719,2012-07-14,2012-07-18,0.04
720,2012-07-10,2012-07-12,1.03
724,2012-07-11,2012-07-15,1.5
725,2012-07-12,2012-07-14,1.47
726,2012-07-11,2012-07-13,0.08
728,2012-07-08,2012-07-15,1.72
729,2012-07-14,2012-07-18,1.25
731,2012-07-11,2012-07-18,1.7
732,2012-07-11,2012-07-16,2.31
733,2012-07-13,2012-07-15,1.05
734,2012-07-08,2012-07-11,3.0
738,2012-07-11,2012-07-18,0.79
739,2012-07-10,2012-07-15,0.2
741,2012-07-11,2012-07-13,0.85
743,2012-07-13,2012-07-17,29.15
744,2012-07-13,2012-07-17,0.31
747,2012-07-09,2012-07-12,0.45
748,2012-07-08,2012-07-12,26.58
751,2012-07-11,2012-07-15,2.07
753,2012-07-10,2012-07-17,2.31
756,2012-07-08,2012-07-14,1.33
757,2012-07-10,2012-07-14,2.95
758,2012-07-12,2012-07-17,30.8
759,2012-07-10,2012-07-13,23.3
760,2012-07-13,2012-07-15,2.2
762,2012-07-09,2012-07-11,2.74
763,2012-07-14,2012-07-16,1.97
764,2012-07-12,2012-07-18,0.56
765,2012-07-15,2012-07-20,0.85
766,2012-07-15,2012-07-20,2.4
768,2012-07-13,2012-07-20,0.92
769,2012-07-13,2012-07-16,0.04
770,2012-07-10,2012-07-17,1.97
771,2012-07-10,2012-07-15,0.83
772,2012-07-10,2012-07-12,0.75
773,2012-07-09,2012-07-12,0.98
774,2012-07-12,2012-07-15,0.32
775,2012-07-13,2012-07-17,1.63
779,2012-07-09,2012-07-12,29.27
781,2012-07-13,2012-07-20,2.75
782,2012-07-12,2012-07-15,1.32
783,2012-07-09,2012-07-14,31.31
786,2012-07-14,2012-07-18,1.78
787,2012-07-14,2012-07-18,2.06
789,2012-07-10,2012-07-15,2.62
790,2012-07-10,2012-07-15,0.85
791,2012-07-13,2012-07-17,1.27
792,2012-07-13,2012-07-16,1.38
793,2012-07-12,2012-07-19,1.12
794,2012-07-12,2012-07-16,1.29
795,2012-07-13,2012-07-16,0.65
796,2012-07-11,2012-07-17,0.65
797,2012-07-13,2012-07-17,1.72
802,2012-07-15,2012-07-21,25.58
803,2012-07-13,2012-07-18,2.09
805,2012-07-08,2012-07-13,26.51
806,2012-07-11,2012-07-13,1.11
807,2012-07-09,2012-07-15,1.94
808,2012-07-15,2012-07-22,1.04
810,2012-07-11,2012-07-18,2.95
811,2012-07-10,2012-07-13,31.16
812,2012-07-12,2012-07-15,2.72
813,2012-07-10,2012-07-12,2.88
814,2012-07-11,2012-07-15,0.88
815,2012-07-11,2012-07-15,23.73
816,2012-07-09,2012-07-16,1.84
818,2012-07-11,2012-07-13,0.39
820,2012-07-10,2012-07-12,0.04
823,2012-07-12,2012-07-14,0.45
824,2012-07-11,2012-07-18,0.13
825,2012-07-11,2012-07-16,1.21
826,2012-07-08,2012-07-11,0.84
827,2012-07-08,2012-07-11,0.52
828,2012-07-13,2012-07-18,2.65
829,2012-07-13,2012-07-15,1.18
831,2012-07-09,2012-07-16,0.84
832,2012-07-09,2012-07-13,0.0
833,2012-07-12,2012-07-16,2.76
835,2012-07-11,2012-07-16,0.35
836,2012-07-08,2012-07-14,2.1
838,2012-07-09,2012-07-12,2.78
839,2012-07-10,2012-07-15,28.83
841,2012-07-11,2012-07-13,2.44
842,2012-07-11,2012-07-17,1.14
845,2012-07-13,2012-07-18,1.12
846,2012-07-14,2012-07-16,0.15
848,2012-07-13,2012-07-15,0.1
849,2012-07-09,2012-07-16,2.44
850,2012-07-11,2012-07-13,0.92
851,2012-07-10,2012-07-14,2.23
852,2012-07-11,2012-07-14,0.62
854,2012-07-11,2012-07-17,0.19
859,2012-07-08,2012-07-15,1.23
860,2012-07-11,2012-07-13,2.08
862,2012-07-09,2012-07-13,1.17
863,2012-07-10,2012-07-15,1.9
864,2012-07-12,2012-07-15,0.98
865,2012-07-11,2012-07-14,0.43
866,2012-07-13,2012-07-19,27.83
867,2012-07-11,2012-07-17,24.31
869,2012-07-12,2012-07-14,1.98
870,2012-07-09,2012-07-11,1.19
871,2012-07-09,2012-07-13,0.66
873,2012-07-14,2012-07-16,2.07
874,2012-07-14,2012-07-20,27.02
875,2012-07-11,2012-07-18,25.3
876,2012-07-13,2012-07-19,2.38
877,2012-07-13,2012-07-17,1.47
878,2012-07-12,2012-07-14,1.16
879,2012-07-08,2012-07-12,29.62
880,2012-07-14,2012-07-19,2.76
881,2012-07-12,2012-07-14,2.32
882,2012-07-08,2012-07-12,2.67
883,2012-07-12,2012-07-17,2.84
885,2012-07-13,2012-07-20,1.63
889,2012-07-10,2012-07-17,2.99
890,2012-07-11,2012-07-15,2.78
896,2012-07-11,2012-07-14,1.86
897,2012-07-11,2012-07-17,1.53
898,2012-07-13,2012-07-16,2.28
899,2012-07-15,2012-07-20,1.03
901,2012-07-11,2012-07-16,2.39
902,2012-07-13,2012-07-15,0.54
903,2012-07-10,2012-07-12,1.3
905,2012-07-14,2012-07-19,0.2
907,2012-07-10,2012-07-14,1.73
908,2012-07-12,2012-07-14,0.84
909,2012-07-10,2012-07-16,2.74
910,2012-07-15,2012-07-18,2.85
913,2012-07-12,2012-07-18,2.62
916,2012-07-11,2012-07-17,1.97
917,2012-07-12,2012-07-19,2.4
918,2012-07-13,2012-07-19,26.07
919,2012-07-13,2012-07-18,24.67
920,2012-07-12,2012-07-17,2.21
922,2012-07-12,2012-07-14,0.03
924,2012-07-11,2012-07-14,2.71
926,2012-07-13,2012-07-15,0.44
929,2012-07-13,2012-07-15,1.37
930,2012-07-11,2012-07-14,1.75
931,2012-07-12,2012-07-19,1.18
932,2012-07-12,2012-07-16,2.2
934,2012-07-15,2012-07-17,0.02
935,2012-07-09,2012-07-11,0.95
936,2012-07-11,2012-07-16,2.45
937,2012-07-14,2012-07-20,1.09
938,2012-07-10,2012-07-16,1.24
940,2012-07-11,2012-07-16,2.4
941,2012-07-11,2012-07-13,1.13
942,2012-07-13,2012-07-19,2.07
943,2012-07-08,2012-07-15,0.72
944,2012-07-13,2012-07-16,1.37
945,2012-07-13,2012-07-17,0.67
946,2012-07-13,2012-07-20,27.79
951,2012-07-10,2012-07-15,2.55
952,2012-07-13,2012-07-20,1.92
953,2012-07-10,2012-07-16,2.95
955,2012-07-09,2012-07-16,1.5
956,2012-07-14,2012-07-18,0.37
957,2012-07-12,2012-07-17,2.41
958,2012-07-11,2012-07-16,29.46
962,2012-07-14,2012-07-17,0.44
963,2012-07-09,2012-07-15,1.6
964,2012-07-12,2012-07-18,2.28
965,2012-07-14,2012-07-17,1.59
966,2012-07-10,2012-07-17,2.32
968,2012-07-12,2012-07-18,2.66
969,2012-07-12,2012-07-16,0.9
971,2012-07-11,2012-07-13,1.74
972,2012-07-09,2012-07-13,1.25
973,2012-07-08,2012-07-13,30.76
974,2012-07-09,2012-07-11,29.55
976,2012-07-12,2012-07-19,1.37
977,2012-07-15,2012-07-21,2.85
978,2012-07-13,2012-07-15,2.46
980,2012-07-12,2012-07-18,26.71
981,2012-07-09,2012-07-14,26.37
982,2012-07-12,2012-07-15,2.56
983,2012-07-14,2012-07-19,2.38
984,2012-07-12,2012-07-17,2.72
986,2012-07-10,2012-07-12,0.76
987,2012-07-12,2012-07-15,1.79
988,2012-07-11,2012-07-13,2.94
989,2012-07-12,2012-07-19,0.45
990,2012-07-13,2012-07-17,0.12
991,2012-07-11,2012-07-15,0.09
992,2012-07-10,2012-07-15,2.2
995,2012-07-15,2012-07-17,1.57
997,2012-07-14,2012-07-19,2.91
998,2012-07-12,2012-07-18,23.74
1001,2012-07-10,2012-07-12,29.54
1002,2012-07-14,2012-07-18,2.34
1003,2012-07-13,2012-07-16,1.78
1004,2012-07-15,2012-07-20,0.29
1005,2012-07-13,2012-07-16,0.13
1006,2012-07-12,2012-07-15,1.59
1010,2012-07-09,2012-07-12,1.63
1017,2012-07-15,2012-07-19,0.47
1018,2012-07-09,2012-07-15,0.08
1019,2012-07-11,2012-07-14,25.48
1020,2012-07-14,2012-07-21,29.64
1023,2012-07-13,2012-07-15,2.89
1025,2012-07-13,2012-07-16,0.99
1028,2012-07-11,2012-07-14,0.79
1030,2012-07-09,2012-07-15,0.0
1031,2012-07-12,2012-07-18,0.59
1032,2012-07-10,2012-07-17,23.34
1033,2012-07-10,2012-07-14,2.85
1034,2012-07-10,2012-07-16,1.4
1035,2012-07-09,2012-07-15,0.01
1036,2012-07-08,2012-07-13,1.36
1037,2012-07-12,2012-07-15,0.61
1039,2012-07-14,2012-07-19,1.37
1040,2012-07-09,2012-07-15,2.42
1041,2012-07-15,2012-07-19,0.49
1042,2012-07-12,2012-07-18,31.3
1044,2012-07-13,2012-07-20,2.15
1046,2012-07-12,2012-07-19,2.44
1047,2012-07-11,2012-07-18,2.04
1048,2012-07-12,2012-07-18,24.67
1049,2012-07-09,2012-07-12,0.14
1051,2012-07-12,2012-07-14,2.57
1054,2012-07-15,2012-07-22,0.61
1055,2012-07-13,2012-07-18,2.87
1056,2012-07-11,2012-07-13,1.52
1058,2012-07-14,2012-07-19,2.0
1060,2012-07-11,2012-07-17,1.71
1061,2012-07-10,2012-07-13,1.51
