return_id,order_id,product_id,return_date,return_reason,return_quantity,refund_amount
RET-000131,2170,2384,2012-07-28,wrong_size,1,7441.06
RET-000132,2174,596,2012-07-23,late_delivery,7,63977.13
RET-000133,2180,596,2012-08-09,defective,3,24861.66
RET-000134,2182,676,2012-07-31,defective,4,36202.95
RET-000135,2191,826,2012-07-28,changed_mind,1,11806.56
RET-000136,2204,964,2012-08-06,not_as_described,1,3439.77
RET-000137,2213,2250,2012-07-31,changed_mind,1,1469.26
RET-000138,2213,2251,2012-08-11,wrong_size,1,1488.29
RET-000141,2270,753,2012-08-01,wrong_size,1,2893.39
RET-000143,2325,915,2012-07-30,wrong_size,4,26661.58
RET-000144,2331,990,2012-08-03,wrong_size,4,20661.21
RET-000146,2367,966,2012-08-09,not_as_described,3,15035.92
RET-000151,2422,819,2012-08-14,wrong_size,2,25515.22
RET-000152,2468,1006,2012-08-10,wrong_size,4,4338.81
RET-000153,2470,1484,2012-08-11,not_as_described,8,7334.93
RET-000155,2524,2255,2012-07-27,changed_mind,4,2908.81
RET-000156,2532,2396,2012-07-29,not_as_described,1,1169.99
RET-000157,2538,2070,2012-08-10,wrong_size,3,16457.87
RET-000158,2543,606,2012-07-31,not_as_described,8,26810.39
RET-000159,2545,609,2012-08-10,wrong_size,1,9034.59
RET-000160,2548,2074,2012-08-03,wrong_size,4,15279.77
RET-000161,2567,966,2012-08-03,wrong_size,7,36252.76
RET-000163,2628,1298,2012-08-10,wrong_size,3,12779.24
RET-000164,2636,1061,2012-08-07,changed_mind,4,6123.19
