Date,gross_revenue,net_revenue,COGS
2013-11-29,1768057.43,1313034.8900000001,1773822.57
2013-11-30,2685677.46,1925067.79,2672025.29
2013-12-01,2391698.09,1672937.1,2420438.06
2013-12-02,2263746.75,1641870.71,2226485.61
2013-12-03,1933337.47,1408294.37,1904782.57
2013-12-04,2924599.17,2142328.22,2877557.67
2013-12-05,2231578.75,1694706.3399999999,2246889.53
2013-12-06,1718341.54,1327387.64,1744505.5
2013-12-07,1444180.43,1030352.44,1408359.66
2013-12-08,1714762.98,1266966.94,1677034.75
2013-12-09,1959405.6,1491896.7,1928205.78
2013-12-10,2256213.74,1563431.18,2198430.55
2013-12-11,3016597.65,2189685.81,3024225.14
2013-12-12,2988571.87,2129532.12,2946591.17
2013-12-13,2131538.29,1505130.78,2083673.81
2013-12-14,2245758.87,1743518.69,2305729.18
2013-12-15,2154695.59,1646504.05,2095032.07
2013-12-16,2694197.04,2006720.08,2720062.14
2013-12-17,3167410.81,2302391.44,3021649.06
2013-12-18,3189533.36,2437232.15,3219583.56
2013-12-19,3062553.19,2290914.2,2981811.67
2013-12-20,2500743.7,1678567.19,2516358.41
2013-12-21,3213344.27,2373344.32,3159953.94
2013-12-22,3476225.97,2407635.97,3458589.82
2013-12-23,2932660.62,2078286.37,2856672.71
2013-12-24,2629786.52,1825906.6099999999,2542278.8
2013-12-25,3807864.44,2650832.73,3711704.9
2013-12-26,3278628.42,2446690.91,3269160.78
2013-12-27,1853472.36,1342272.0,1854636.14
2013-12-28,3547336.16,2432552.55,3487806.62
2013-12-29,6516622.75,4886937.36,6506519.56
2013-12-30,5792994.45,4137060.97,5695206.04
2013-12-31,6247467.59,4679072.54,6080338.22
2014-01-01,5743739.48,4474751.23,5563113.31
2014-01-02,3787850.5,2914076.69,3666330.68
2014-01-03,2354832.6,2131579.2,1871645.41
2014-01-04,2243604.06,1885237.6,1747621.88
2014-01-05,2361866.5,1939122.57,1851453.14
2014-01-06,2639202.87,2488432.47,2146455.69
2014-01-07,3437125.39,3263891.05,2809411.95
2014-01-08,2250519.73,2096919.31,1808614.16
